dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,rain,date,hour
2022-10-16 00:00:00,18.39,18.27,1015,76,14.09,0.0,75,10000,4.02,225,4.92,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-10-16,0
2022-10-16 01:00:00,18.39,18.09,1014,69,12.61,0.0,75,10000,5.36,225,6.71,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-10-16,1
2022-10-16 02:00:00,17.91,17.82,1014,79,14.22,0.0,75,10000,5.36,180,5.36,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-10-16,2
2022-10-16 03:00:00,18.53,18.58,1015,82,15.4,0.0,75,10000,3.09,190,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-10-16,3
2022-10-16 04:00:00,18.53,18.53,1015,80,15.02,0.0,75,10000,3.09,180,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-10-16,4
2022-10-16 05:00:00,18.39,18.3,1014,77,14.29,0.0,75,10000,4.92,270,7.6,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-10-16,5
2022-10-16 06:00:00,18.11,18.07,1014,80,14.61,0.0,75,10000,4.92,315,8.05,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-10-16,6
2022-10-16 07:00:00,17.79,17.77,1014,82,14.68,0.0,75,10000,7.6,270,7.6,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,2022-10-16,7
2022-10-16 08:00:00,17.62,17.58,1014,82,14.51,0.2,75,10000,4.47,270,4.92,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,2022-10-16,8
2022-10-16 09:00:00,18.0,17.97,1014,81,14.69,0.79,75,10000,3.09,140,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,2022-10-16,9
2022-10-16 10:00:00,18.43,18.37,1014,78,14.53,1.86,75,10000,3.09,0,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,2022-10-16,10
2022-10-16 11:00:00,19.73,19.72,1014,75,15.18,3.0,40,10000,4.12,160,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-10-16,11
2022-10-16 12:00:00,20.75,20.71,1014,70,15.09,3.79,40,10000,7.15,315,9.39,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-10-16,12
2022-10-16 13:00:00,21.8,21.76,1013,66,15.17,3.9,40,10000,4.02,360,5.81,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-10-16,13
2022-10-16 14:00:00,21.56,21.47,1013,65,14.71,3.28,20,10000,8.49,225,11.62,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'1h': 1},2022-10-16,14
2022-10-16 15:00:00,21.15,21.12,1012,69,15.24,2.17,20,10000,5.81,270,8.49,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'1h': 0.24},2022-10-16,15
