dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,wind_gust,date,hour,rain
2022-12-18 00:00:00,11.84,11.04,1025,75,7.56,0.0,20,10000,4.12,140,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-12-18,0,
2022-12-18 01:00:00,11.64,10.84,1025,76,7.56,0.0,20,10000,3.6,140,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50n'}]",,2022-12-18,1,
2022-12-18 02:00:00,11.61,10.84,1025,77,7.72,0.0,20,10000,3.09,140,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50n'}]",,2022-12-18,2,
2022-12-18 03:00:00,12.0,11.27,1025,77,8.1,0.0,40,5000,3.6,140,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50n'}]",,2022-12-18,3,
2022-12-18 04:00:00,12.0,11.27,1025,77,8.1,0.0,20,4500,3.09,130,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50n'}]",,2022-12-18,4,
2022-12-18 05:00:00,11.34,10.54,1025,77,7.46,0.0,75,2500,4.12,130,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50n'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,2022-12-18,5,
2022-12-18 06:00:00,11.19,10.38,1025,77,7.31,0.0,20,10000,4.63,130,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-12-18,6,
2022-12-18 07:00:00,11.61,10.86,1025,78,7.91,0.0,75,10000,4.63,150,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-12-18,7,
2022-12-18 08:00:00,11.39,10.7,1025,81,8.25,0.0,75,10000,4.63,120,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",,2022-12-18,8,
2022-12-18 09:00:00,12.54,12.36,1022,96,11.92,0.24,75,10000,4.63,130,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",,2022-12-18,9,
