dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,rain,date,hour
2022-03-14 00:00:00,12.07,11.32,1005,76,7.97,0.0,20,10000,2.57,130,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-03-14,0
2022-03-14 01:00:00,11.77,10.99,1004,76,7.68,0.0,20,10000,4.63,110,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-03-14,1
2022-03-14 02:00:00,11.13,10.39,1003,80,7.81,0.0,40,10000,2.06,60,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,2022-03-14,2
2022-03-14 03:00:00,10.66,9.95,1002,83,7.9,0.0,20,10000,4.12,60,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-03-14,3
2022-03-14 04:00:00,10.33,9.59,1001,83,7.57,0.0,20,10000,4.12,50,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-03-14,4
2022-03-14 05:00:00,9.72,7.85,1001,85,7.32,0.0,0,10000,3.6,40,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-03-14,5
2022-03-14 06:00:00,9.92,8.09,1001,81,6.82,0.0,20,10000,3.6,20,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-03-14,6
2022-03-14 07:00:00,10.18,9.24,1002,76,6.14,0.0,20,10000,4.63,60,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-03-14,7
2022-03-14 08:00:00,10.17,9.17,1002,74,5.75,0.25,20,10000,4.63,30,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-03-14,8
2022-03-14 09:00:00,10.67,9.72,1003,74,6.23,0.74,20,10000,4.63,70,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-03-14,9
2022-03-14 10:00:00,11.16,10.29,1003,75,6.9,1.48,40,10000,5.14,60,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-03-14,10
2022-03-14 11:00:00,12.01,11.3,1003,78,8.3,2.23,40,10000,5.66,80,"[{'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09d'}]",{'1h': 0.18},2022-03-14,11
2022-03-14 12:00:00,14.02,13.33,1002,71,8.85,2.73,20,10000,4.12,70,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-03-14,12
2022-03-14 13:00:00,15.05,14.23,1001,62,7.83,3.29,40,10000,6.17,70,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-03-14,13
2022-03-14 14:00:00,15.18,14.24,1001,57,6.73,2.82,20,10000,9.26,40,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-03-14,14
2022-03-14 15:00:00,15.75,14.71,1001,51,5.65,1.99,20,10000,7.2,50,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-03-14,15
2022-03-14 16:00:00,14.91,13.89,1001,55,5.96,1.1,40,10000,6.17,60,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-03-14,16
2022-03-14 17:00:00,13.8,12.96,1001,66,7.57,0.42,40,10000,5.14,360,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-03-14,17
2022-03-14 18:00:00,13.06,12.28,1002,71,7.93,0.08,20,10000,6.69,20,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-03-14,18
2022-03-14 19:00:00,12.0,11.14,1002,72,7.12,0.0,20,10000,6.17,30,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-03-14,19
2022-03-14 20:00:00,11.52,10.66,1004,74,7.05,0.0,40,10000,4.63,40,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,2022-03-14,20
2022-03-14 21:00:00,10.76,9.88,1003,76,6.71,0.0,20,10000,6.69,20,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-03-14,21
2022-03-14 22:00:00,10.68,9.81,1003,77,6.82,0.0,20,10000,6.69,20,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-03-14,22
2022-03-14 23:00:00,10.51,9.68,1004,79,7.03,0.0,20,10000,5.66,20,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-03-14,23
2022-03-15 00:00:00,10.43,9.62,1005,80,7.13,0.0,20,10000,5.14,30,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-03-15,0
2022-03-15 01:00:00,10.55,9.8,1005,82,7.61,0.0,20,10000,4.63,40,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-03-15,1
2022-03-15 02:00:00,10.68,9.94,1004,82,7.74,0.0,20,10000,4.63,40,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-03-15,2
2022-03-15 03:00:00,10.72,9.96,1023,81,7.6,0.0,20,10000,5.14,30,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-03-15,3
2022-03-15 04:00:00,10.45,9.69,1003,82,7.51,0.0,20,10000,5.14,30,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-03-15,4
2022-03-15 05:00:00,10.46,9.7,1004,82,7.52,0.0,20,10000,6.69,30,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-03-15,5
2022-03-15 06:00:00,10.46,9.7,1004,82,7.52,0.0,20,10000,5.14,30,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-03-15,6
2022-03-15 07:00:00,10.73,9.97,1005,81,7.61,0.0,20,10000,5.14,10,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-03-15,7
2022-03-15 08:00:00,11.1,10.3,1005,78,7.41,0.07,20,10000,4.63,330,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-03-15,8
2022-03-15 09:00:00,12.38,11.58,1005,73,7.68,0.22,40,10000,4.63,10,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-03-15,9
2022-03-15 10:00:00,13.77,12.95,1006,67,7.76,1.96,40,10000,7.72,10,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-03-15,10
2022-03-15 11:00:00,15.53,14.78,1005,63,8.52,2.98,75,10000,6.17,10,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,2022-03-15,11
2022-03-15 12:00:00,16.74,16.09,1005,62,9.43,3.65,75,8000,6.69,50,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",,2022-03-15,12
2022-03-15 13:00:00,18.13,17.51,1004,58,9.74,4.39,75,7000,6.69,50,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50d'}]",,2022-03-15,13
2022-03-15 14:00:00,19.11,18.51,1004,55,9.87,3.76,75,6000,6.69,60,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50d'}]",,2022-03-15,14
2022-03-15 15:00:00,19.23,18.7,1004,57,10.51,2.65,75,5000,5.66,50,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50d'}]",,2022-03-15,15
2022-03-15 16:00:00,19.12,18.58,1004,57,10.41,1.41,20,4000,5.66,30,"[{'id': 761, 'main': 'Dust', 'description': 'dust', 'icon': '50d'}]",,2022-03-15,16
2022-03-15 17:00:00,19.0,18.47,1005,58,10.56,0.54,20,3200,5.14,40,"[{'id': 761, 'main': 'Dust', 'description': 'dust', 'icon': '50d'}]",,2022-03-15,17
2022-03-15 18:00:00,18.52,17.99,1005,60,10.62,0.1,55,3200,3.6,360,"[{'id': 761, 'main': 'Dust', 'description': 'dust', 'icon': '50d'}]",,2022-03-15,18
2022-03-15 19:00:00,17.69,17.19,1006,64,10.8,0.0,40,3000,4.12,20,"[{'id': 761, 'main': 'Dust', 'description': 'dust', 'icon': '50n'}]",,2022-03-15,19
2022-03-15 20:00:00,17.09,16.6,1006,67,10.92,0.0,20,6000,4.63,330,"[{'id': 761, 'main': 'Dust', 'description': 'dust', 'icon': '50n'}]",,2022-03-15,20
2022-03-15 21:00:00,16.79,16.25,1005,66,10.41,0.0,40,6000,5.14,340,"[{'id': 761, 'main': 'Dust', 'description': 'dust', 'icon': '50n'}]",,2022-03-15,21
2022-03-15 22:00:00,16.95,16.4,1008,65,10.33,0.0,63,6000,5.66,20,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-03-15,22
2022-03-15 23:00:00,16.65,16.07,1006,65,10.05,0.0,52,6000,5.66,10,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-03-15,23
