dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,wind_gust,date,hour
2022-09-09 00:00:00,21.49,21.78,1018,80,17.9,0.0,20,10000,2.06,260,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-09-09,0
2022-09-09 01:00:00,21.71,21.97,1018,78,17.71,0.0,20,10000,4.02,270,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",5.36,2022-09-09,1
2022-09-09 02:00:00,21.07,21.35,1018,81,17.68,0.0,75,10000,2.06,260,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-09-09,2
2022-09-09 03:00:00,20.98,21.3,1018,83,17.98,0.0,75,10000,1.79,343,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",3.13,2022-09-09,3
2022-09-09 04:00:00,21.59,21.82,1018,77,17.39,0.0,75,10000,3.13,315,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",4.02,2022-09-09,4
2022-09-09 05:00:00,20.92,21.18,1018,81,17.54,0.0,75,10000,2.24,315,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",4.47,2022-09-09,5
2022-09-09 06:00:00,21.35,21.63,1019,80,17.76,0.0,75,10000,3.6,360,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-09-09,6
2022-09-09 07:00:00,20.71,20.87,1018,78,16.74,0.16,75,10000,4.12,360,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,2022-09-09,7
2022-09-09 08:00:00,21.2,21.36,1019,76,16.8,0.77,75,10000,3.13,360,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",4.92,2022-09-09,8
2022-09-09 09:00:00,22.46,22.62,1019,71,16.94,2.05,75,10000,4.63,350,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,2022-09-09,9
