dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,rain,date,hour
2022-10-20 00:00:00,16.15,16.17,1011,90,14.51,0.0,75,10000,7.6,270,13.86,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-10-20,0
2022-10-20 01:00:00,16.75,16.78,1011,88,14.75,0.0,75,10000,9.39,270,12.07,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-10-20,1
2022-10-20 02:00:00,17.33,17.44,1010,89,15.5,0.0,75,10000,10.28,225,15.2,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-10-20,2
2022-10-20 03:00:00,17.75,17.85,1009,87,15.56,0.0,75,8000,14.31,157,20.12,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-10-20,3
2022-10-20 04:00:00,17.75,17.85,1009,87,15.56,0.0,75,10000,10.73,180,16.54,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-10-20,4
2022-10-20 05:00:00,17.75,17.85,1009,87,15.56,0.0,75,10000,13.86,225,16.54,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-10-20,5
2022-10-20 06:00:00,17.77,17.87,1009,87,15.58,0.0,40,10000,9.83,360,17.88,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,2022-10-20,6
2022-10-20 07:00:00,18.23,18.28,1008,83,15.3,0.0,75,10000,16.09,315,19.67,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,2022-10-20,7
2022-10-20 08:00:00,17.19,17.37,1011,92,15.88,0.12,40,10000,5.66,200,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-10-20,8
2022-10-20 09:00:00,17.13,17.2,1009,88,15.13,0.49,40,10000,10.28,360,16.09,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-10-20,9
2022-10-20 10:00:00,17.67,17.76,1009,87,15.48,1.14,75,10000,12.52,292,16.99,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,2022-10-20,10
2022-10-20 11:00:00,18.65,18.84,1009,87,16.44,1.85,75,10000,17.43,180,17.43,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",,2022-10-20,11
2022-10-20 12:00:00,19.93,20.12,1009,82,16.77,2.35,75,10000,17.43,225,17.43,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,2022-10-20,12
2022-10-20 13:00:00,20.57,20.69,1009,77,16.4,2.21,40,10000,16.99,315,22.8,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-10-20,13
2022-10-20 14:00:00,20.51,20.57,1009,75,15.93,1.84,20,10000,13.86,315,19.22,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-10-20,14
2022-10-20 15:00:00,20.42,20.58,1011,79,16.66,1.21,40,10000,7.72,220,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-10-20,15
2022-10-20 16:00:00,18.61,18.72,1010,84,15.86,0.61,75,5000,10.28,270,10.28,"[{'id': 310, 'main': 'Drizzle', 'description': 'light intensity drizzle rain', 'icon': '09d'}, {'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'1h': 0.12},2022-10-20,16
2022-10-20 17:00:00,17.86,17.92,1010,85,15.31,0.18,40,10000,7.15,315,11.62,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-10-20,17
2022-10-20 18:00:00,17.81,17.89,1011,86,15.44,0.0,20,10000,4.47,270,9.83,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-10-20,18
2022-10-20 19:00:00,17.86,18.0,1011,88,15.85,0.0,20,10000,4.02,270,6.71,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-10-20,19
2022-10-20 20:00:00,18.47,18.75,1013,91,16.97,0.0,40,10000,3.6,210,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,2022-10-20,20
2022-10-20 21:00:00,17.91,18.05,1012,88,15.9,0.0,40,10000,6.71,270,7.15,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,2022-10-20,21
2022-10-20 22:00:00,17.91,18.08,1012,89,16.07,0.0,75,10000,5.36,315,8.49,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09n'}]",,2022-10-20,22
2022-10-20 23:00:00,17.8,17.88,1012,86,15.43,0.0,20,10000,9.39,180,9.39,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-10-20,23
2022-10-21 00:00:00,17.91,18.03,1013,87,15.72,0.0,20,10000,6.71,315,7.6,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-10-21,0
2022-10-21 01:00:00,17.91,18.08,1013,89,16.07,0.0,20,10000,7.15,315,8.05,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-10-21,1
2022-10-21 02:00:00,17.86,17.97,1012,87,15.67,0.0,40,10000,5.36,360,8.49,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,2022-10-21,2
2022-10-21 03:00:00,17.91,18.03,1012,87,15.72,0.0,20,10000,4.92,337,9.39,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.32},2022-10-21,3
2022-10-21 04:00:00,17.86,17.95,1011,86,15.49,0.0,40,10000,8.49,292,9.83,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,2022-10-21,4
2022-10-21 05:00:00,17.75,17.8,1012,85,15.2,0.0,20,10000,5.36,225,9.39,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-10-21,5
2022-10-21 06:00:00,17.75,17.75,1012,83,14.83,0.0,40,10000,4.12,210,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,2022-10-21,6
