dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,wind_gust,rain,date,hour
2022-03-01 00:00:00,12.51,11.51,1022,65,6.12,0.0,0,10000,1.54,130,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-03-01,0
2022-03-01 01:00:00,11.93,10.93,1021,67,6.0,0.0,0,10000,1.03,130,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-03-01,1
2022-03-01 02:00:00,11.36,10.35,1022,69,5.88,0.0,0,10000,1.03,0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-03-01,2
2022-03-01 03:00:00,11.32,10.39,1021,72,6.46,0.0,0,10000,0.51,0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-03-01,3
2022-03-01 04:00:00,11.19,10.27,1021,73,6.54,0.0,0,10000,0.51,240,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-03-01,4
2022-03-01 05:00:00,11.33,10.37,1021,71,6.27,0.0,0,10000,1.54,280,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-03-01,5
2022-03-01 06:00:00,11.67,10.75,1022,71,6.59,0.0,0,10000,1.34,283,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2.24,,2022-03-01,6
2022-03-01 07:00:00,11.01,10.12,1022,75,6.76,0.0,0,10000,2.06,270,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-03-01,7
2022-03-01 08:00:00,12.09,11.39,1022,78,8.38,0.21,0,10000,1.54,140,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,2022-03-01,8
2022-03-01 09:00:00,13.6,13.0,1022,76,9.45,0.77,0,10000,1.03,0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",,{'1h': 0.13},2022-03-01,9
2022-03-01 10:00:00,14.86,14.33,1022,74,10.27,1.8,20,10000,1.54,80,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,2022-03-01,10
2022-03-01 11:00:00,15.42,14.92,1023,73,10.61,2.85,20,10000,2.57,200,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,2022-03-01,11
2022-03-01 12:00:00,17.13,16.67,1022,68,11.18,3.56,20,10000,3.6,200,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,2022-03-01,12
2022-03-01 13:00:00,17.61,17.07,1022,63,10.49,3.88,20,10000,4.63,220,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,2022-03-01,13
2022-03-01 14:00:00,17.6,17.14,1021,66,11.18,3.27,20,10000,5.66,230,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,2022-03-01,14
2022-03-01 15:00:00,17.75,17.25,1021,64,10.86,2.23,20,10000,6.69,230,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,2022-03-01,15
2022-03-01 16:00:00,17.19,16.66,1021,65,10.56,1.23,40,10000,4.63,260,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,,2022-03-01,16
2022-03-01 17:00:00,17.22,16.72,1021,66,10.82,0.42,20,10000,4.47,241,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",5.81,,2022-03-01,17
2022-03-01 18:00:00,15.87,15.44,1021,74,11.25,0.0,40,10000,4.12,280,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,,2022-03-01,18
2022-03-01 19:00:00,15.2,14.84,1021,79,11.59,0.0,75,10000,3.6,240,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,,2022-03-01,19
2022-03-01 20:00:00,14.71,14.43,1021,84,12.04,0.0,75,10000,4.12,260,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,,2022-03-01,20
2022-03-01 21:00:00,14.8,14.48,1021,82,11.76,0.0,75,10000,2.57,250,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,,2022-03-01,21
2022-03-01 22:00:00,14.27,13.84,1021,80,10.87,0.0,40,10000,1.79,347,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",3.13,,2022-03-01,22
2022-03-01 23:00:00,13.52,13.07,1021,82,10.51,0.0,20,10000,2.57,310,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,,2022-03-01,23
2022-03-02 00:00:00,13.29,12.76,1021,80,9.92,0.0,20,10000,3.13,42,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",4.92,,2022-03-02,0
2022-03-02 01:00:00,13.01,12.46,1021,80,9.64,0.0,40,10000,3.58,51,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",4.92,,2022-03-02,1
2022-03-02 02:00:00,12.43,11.79,1021,79,8.89,0.0,20,10000,3.09,330,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,,2022-03-02,2
2022-03-02 03:00:00,11.9,11.21,1021,79,8.38,0.0,0,10000,3.09,340,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-03-02,3
2022-03-02 04:00:00,11.37,10.6,1021,78,7.68,0.0,20,10000,2.57,320,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,,2022-03-02,4
2022-03-02 05:00:00,10.89,10.1,1021,79,7.4,0.0,20,10000,2.06,340,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,,2022-03-02,5
2022-03-02 06:00:00,10.05,9.17,1021,79,6.58,0.0,0,10000,1.34,298,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",1.79,,2022-03-02,6
2022-03-02 07:00:00,9.71,8.43,1021,82,6.79,0.0,20,10000,2.57,340,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,,2022-03-02,7
2022-03-02 08:00:00,10.6,9.8,1022,80,7.3,0.28,20,10000,2.57,360,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,2022-03-02,8
2022-03-02 09:00:00,12.93,12.03,1027,67,6.96,0.99,20,10000,2.06,350,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,2022-03-02,9
2022-03-02 10:00:00,14.46,13.58,1027,62,7.28,1.87,20,10000,2.57,310,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,2022-03-02,10
2022-03-02 11:00:00,14.87,13.93,1023,58,6.69,2.95,40,10000,4.02,238,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",5.36,,2022-03-02,11
2022-03-02 12:00:00,15.98,15.04,1023,54,6.69,3.68,20,10000,4.12,330,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,2022-03-02,12
2022-03-02 13:00:00,16.41,15.49,1026,53,6.82,3.61,20,10000,4.12,340,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,2022-03-02,13
2022-03-02 14:00:00,17.19,16.27,1022,50,6.69,3.04,20,10000,4.63,320,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,2022-03-02,14
2022-03-02 15:00:00,16.85,15.97,1025,53,7.22,2.08,20,10000,4.63,310,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,2022-03-02,15
2022-03-02 16:00:00,16.02,15.09,1021,54,6.73,1.03,20,10000,5.14,310,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,2022-03-02,16
2022-03-02 17:00:00,15.34,14.5,1021,60,7.63,0.35,20,10000,4.63,310,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,2022-03-02,17
