dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,date,hour,wind_gust,rain
2022-02-09 00:00:00,11.66,10.76,1024,72,6.79,0.0,0,10000,3.09,100,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-02-09,0,,
2022-02-09 01:00:00,11.38,10.43,1023,71,6.32,0.0,0,10000,1.54,350,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-02-09,1,,
2022-02-09 02:00:00,10.6,9.62,1024,73,5.97,0.0,0,10000,1.54,40,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-02-09,2,,
2022-02-09 03:00:00,10.16,9.19,1024,75,5.93,0.0,0,10000,2.57,70,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-02-09,3,,
2022-02-09 04:00:00,10.07,9.06,1024,74,5.65,0.0,0,10000,2.57,40,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-02-09,4,,
2022-02-09 05:00:00,9.68,7.55,1024,77,5.85,0.0,0,10000,4.12,40,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-02-09,5,,
2022-02-09 06:00:00,9.3,7.34,1024,79,5.85,0.0,0,10000,3.6,20,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-02-09,6,,
2022-02-09 07:00:00,9.26,7.04,1025,83,6.53,0.0,0,10000,4.12,30,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-02-09,7,,
2022-02-09 08:00:00,9.21,7.23,1026,83,6.48,0.12,20,10000,3.6,40,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-02-09,8,,
2022-02-09 09:00:00,10.38,9.56,1026,80,7.08,0.55,0,10000,4.63,30,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-02-09,9,,
2022-02-09 10:00:00,12.05,11.24,1027,74,7.56,1.31,0,10000,4.12,20,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-02-09,10,,
2022-02-09 11:00:00,13.66,12.86,1026,68,7.87,2.2,0,10000,4.12,30,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-02-09,11,,
2022-02-09 12:00:00,15.44,14.61,1026,60,7.72,2.81,0,10000,3.6,20,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-02-09,12,,
2022-02-09 13:00:00,16.73,15.97,1026,58,8.43,3.0,0,10000,3.6,10,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-02-09,13,,
