dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,date,hour,rain
2022-09-10 00:00:00,19.98,20.07,1018,78,16.03,0.0,20,10000,4.47,315,5.36,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-09-10,0,
2022-09-10 01:00:00,19.38,19.44,1017,79,15.65,0.0,20,10000,2.57,330,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-09-10,1,
2022-09-10 02:00:00,18.51,18.56,1017,82,15.38,0.0,20,10000,2.06,330,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-09-10,2,
2022-09-10 03:00:00,18.51,18.56,1017,82,15.38,0.0,20,10000,3.6,300,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-09-10,3,
2022-09-10 04:00:00,18.51,18.58,1016,83,15.57,0.0,20,10000,3.6,310,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-09-10,4,
2022-09-10 05:00:00,18.49,18.54,1016,82,15.36,0.0,20,10000,4.12,310,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-09-10,5,
2022-09-10 06:00:00,18.18,18.25,1016,84,15.43,0.0,20,10000,3.13,349,4.92,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-09-10,6,
2022-09-10 07:00:00,18.82,18.87,1017,81,15.49,0.15,20,10000,3.09,310,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-09-10,7,
2022-09-10 08:00:00,20.17,20.2,1017,75,15.6,0.77,0,10000,4.63,360,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-09-10,8,
2022-09-10 09:00:00,23.31,23.37,1017,64,16.12,2.05,0,10000,2.57,60,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-09-10,9,
2022-09-10 10:00:00,24.35,24.51,1019,64,17.11,3.83,0,10000,3.09,210,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-09-10,10,
2022-09-10 11:00:00,25.39,25.53,1018,59,16.8,5.64,0,10000,4.12,230,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-09-10,11,
2022-09-10 12:00:00,26.92,27.52,1017,53,16.54,6.83,0,10000,5.81,360,10.73,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-09-10,12,
2022-09-10 13:00:00,27.31,27.93,1016,53,16.9,6.78,0,10000,12.07,180,12.07,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-09-10,13,
2022-09-10 14:00:00,28.68,29.14,1016,49,16.92,5.86,20,10000,5.36,315,7.6,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-09-10,14,
2022-09-10 15:00:00,29.27,29.64,1015,47,16.8,4.22,0,10000,4.47,315,6.71,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-09-10,15,
2022-09-10 16:00:00,28.52,28.85,1015,48,16.45,2.43,20,10000,5.81,360,7.6,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-09-10,16,
2022-09-10 17:00:00,28.22,28.61,1016,49,16.5,1.01,20,10000,4.12,220,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-09-10,17,
2022-09-10 18:00:00,26.66,26.66,1015,52,16.0,0.24,0,10000,4.12,20,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-09-10,18,
2022-09-10 19:00:00,23.52,23.65,1014,66,16.8,0.0,0,10000,5.36,315,6.71,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-09-10,19,
2022-09-10 20:00:00,22.34,22.54,1016,73,17.27,0.0,0,10000,5.66,310,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-09-10,20,
2022-09-10 21:00:00,21.25,21.39,1015,75,16.64,0.0,0,10000,4.63,310,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-09-10,21,
2022-09-10 22:00:00,21.33,21.53,1016,77,17.14,0.0,0,10000,5.14,310,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-09-10,22,
2022-09-10 23:00:00,20.47,20.64,1015,79,16.71,0.0,0,10000,2.68,3,4.92,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-09-10,23,
2022-09-11 00:00:00,20.22,20.39,1015,80,16.66,0.0,0,10000,1.54,310,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-09-11,0,
2022-09-11 01:00:00,20.36,20.49,1015,78,16.4,0.0,0,10000,1.34,270,4.02,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-09-11,1,
2022-09-11 02:00:00,19.47,19.61,1014,82,16.32,0.0,0,10000,1.54,200,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-09-11,2,
2022-09-11 03:00:00,19.35,19.48,1013,82,16.2,0.0,0,10000,2.06,150,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-09-11,3,
2022-09-11 04:00:00,19.33,19.51,1014,84,16.56,0.0,0,10000,1.03,220,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-09-11,4,
2022-09-11 05:00:00,18.46,18.53,1012,83,15.52,0.0,0,10000,1.79,315,1.79,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-09-11,5,
2022-09-11 06:00:00,18.41,18.53,1013,85,15.84,0.0,20,10000,1.54,340,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-09-11,6,
2022-09-11 07:00:00,18.21,18.33,1013,86,15.83,0.12,20,10000,1.54,140,,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",2022-09-11,7,
2022-09-11 08:00:00,19.74,19.91,1013,82,16.58,0.62,40,10000,1.54,180,,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",2022-09-11,8,
2022-09-11 09:00:00,20.64,20.85,1013,80,17.07,1.67,40,10000,4.92,180,7.15,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",2022-09-11,9,
2022-09-11 10:00:00,23.15,23.37,1013,71,17.61,3.5,20,10000,5.81,180,5.81,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-09-11,10,
