dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,rain,wind_gust,date,hour
2023-01-08 00:00:00,16.07,16.21,1021,95,15.27,0.0,75,3500,4.63,220,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,,2023-01-08,0
2023-01-08 01:00:00,15.61,15.73,1021,96,14.97,0.0,75,5000,6.69,220,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",{'1h': 0.12},,2023-01-08,1
2023-01-08 02:00:00,16.09,16.21,1020,94,15.12,0.0,75,9000,7.72,230,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,,2023-01-08,2
2023-01-08 03:00:00,16.09,16.21,1020,94,15.12,0.0,75,10000,6.17,230,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,,2023-01-08,3
2023-01-08 04:00:00,16.09,16.18,1020,93,14.96,0.0,75,10000,6.17,230,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,,2023-01-08,4
2023-01-08 05:00:00,16.09,16.21,1020,94,15.12,0.0,75,6000,6.69,240,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09n'}]",,,2023-01-08,5
2023-01-08 06:00:00,15.95,16.06,1020,94,14.99,0.0,75,6000,6.69,230,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,,2023-01-08,6
2023-01-08 07:00:00,16.1,16.17,1020,92,14.8,0.0,75,10000,7.2,240,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,,2023-01-08,7
2023-01-08 08:00:00,15.49,15.52,1021,93,14.36,0.0,75,9000,7.72,240,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,,2023-01-08,8
2023-01-08 09:00:00,16.16,16.26,1021,93,15.03,0.27,75,10000,6.69,240,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,11.83,2023-01-08,9
2023-01-08 10:00:00,16.3,16.41,1021,93,15.17,0.62,75,10000,6.17,240,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,,2023-01-08,10
2023-01-08 11:00:00,16.85,16.86,1022,87,14.67,1.1,75,10000,5.66,250,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,,2023-01-08,11
2023-01-08 12:00:00,17.05,17.0,1022,84,14.33,1.48,75,10000,8.94,282,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,13.41,2023-01-08,12
2023-01-08 13:00:00,17.05,17.08,1021,87,14.87,1.74,40,10000,6.71,280,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,10.73,2023-01-08,13
2023-01-08 14:00:00,17.11,16.83,1019,75,12.65,1.41,75,10000,9.39,315,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,14.75,2023-01-08,14
2023-01-08 15:00:00,15.93,15.72,1019,82,12.86,0.85,75,4000,9.83,360,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,15.2,2023-01-08,15
2023-01-08 16:00:00,17.01,17.19,1021,93,15.87,0.26,75,10000,6.69,260,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,,2023-01-08,16
2023-01-08 17:00:00,16.62,16.79,1021,94,15.65,0.0,75,7000,7.72,250,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,,2023-01-08,17
