dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,rain,date,hour,wind_gust
2022-06-16 00:00:00,17.74,17.68,1017,81,14.44,0.0,20,10000,2.57,250,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-06-16,0,
2022-06-16 01:00:00,17.38,17.31,1017,82,14.28,0.0,20,10000,3.09,230,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-06-16,1,
2022-06-16 02:00:00,17.02,17.0,1017,85,14.48,0.0,20,10000,2.57,210,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-06-16,2,
2022-06-16 03:00:00,16.58,16.51,1017,85,14.05,0.0,20,10000,2.06,190,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-06-16,3,
2022-06-16 04:00:00,16.57,16.55,1017,87,14.4,0.0,20,10000,2.06,210,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-06-16,4,
2022-06-16 05:00:00,16.67,16.64,1018,86,14.32,0.0,20,10000,2.06,190,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-06-16,5,
2022-06-16 06:00:00,16.47,16.52,1018,90,14.83,0.17,40,10000,1.54,60,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-06-16,6,
2022-06-16 07:00:00,17.34,17.43,1018,88,15.33,0.57,20,10000,1.03,0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-06-16,7,
2022-06-16 08:00:00,17.86,17.87,1018,83,14.94,1.51,20,10000,1.03,0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'1h': 0.42},2022-06-16,8,
2022-06-16 09:00:00,18.56,18.59,1019,81,15.24,3.02,40,10000,1.54,130,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'1h': 0.18},2022-06-16,9,
2022-06-16 10:00:00,20.18,20.16,1019,73,15.19,5.2,20,10000,3.09,90,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-06-16,10,
2022-06-16 11:00:00,20.24,20.2,1019,72,15.03,6.98,20,10000,2.57,360,"[{'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09d'}]",{'1h': 0.18},2022-06-16,11,
2022-06-16 12:00:00,19.72,19.68,1019,74,14.96,8.09,20,10000,3.6,70,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'1h': 0.65},2022-06-16,12,
2022-06-16 13:00:00,21.37,21.31,1018,67,15.0,9.31,20,10000,5.14,80,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-06-16,13,
2022-06-16 14:00:00,22.93,22.74,1018,56,13.69,8.31,20,10000,4.12,100,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-06-16,14,
2022-06-16 15:00:00,23.14,22.87,1018,52,12.75,6.46,20,10000,2.57,70,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-06-16,15,
2022-06-16 16:00:00,23.72,23.56,1017,54,13.87,4.22,40,10000,5.66,220,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-06-16,16,
2022-06-16 17:00:00,23.63,23.51,1017,56,14.35,2.28,20,10000,5.14,220,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'1h': 0.21},2022-06-16,17,
2022-06-16 18:00:00,22.26,21.9,1016,52,11.94,0.94,20,10000,6.17,270,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'1h': 0.24},2022-06-16,18,
2022-06-16 19:00:00,22.68,22.31,1016,50,11.73,0.25,20,10000,4.63,230,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-06-16,19,
2022-06-16 20:00:00,21.04,20.69,1017,57,12.2,0.0,20,10000,4.63,240,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-06-16,20,
2022-06-16 21:00:00,19.75,19.5,1017,66,13.22,0.0,0,10000,3.09,330,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-06-16,21,
2022-06-16 22:00:00,19.47,19.22,1019,67,13.19,0.0,0,10000,2.06,310,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-06-16,22,
2022-06-16 23:00:00,18.73,18.51,1019,71,13.37,0.0,0,10000,2.06,260,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-06-16,23,
2022-06-17 00:00:00,18.43,18.29,1018,75,13.92,0.0,0,10000,2.06,290,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-06-17,0,
2022-06-17 01:00:00,18.55,18.47,1018,77,14.44,0.0,0,10000,3.09,290,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-06-17,1,
2022-06-17 02:00:00,18.18,18.06,1018,77,14.09,0.0,0,10000,2.57,300,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-06-17,2,
2022-06-17 03:00:00,18.09,17.97,1019,77,14.0,0.0,0,10000,2.57,300,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-06-17,3,
2022-06-17 04:00:00,17.65,17.59,1018,81,14.35,0.0,0,10000,1.54,270,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-06-17,4,
2022-06-17 05:00:00,17.65,17.51,1018,78,13.77,0.0,0,10000,0.0,0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-06-17,5,
2022-06-17 06:00:00,16.92,16.83,1018,83,14.02,0.16,0,10000,1.03,0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-06-17,6,
2022-06-17 07:00:00,19.02,19.04,1018,79,15.3,0.65,20,10000,1.79,190,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-06-17,7,3.13
2022-06-17 08:00:00,20.18,20.19,1018,74,15.4,1.72,0,10000,4.12,90,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-06-17,8,9.77
2022-06-17 09:00:00,20.85,20.82,1019,70,15.18,3.41,20,10000,3.09,0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-06-17,9,8.75
2022-06-17 10:00:00,22.45,22.37,1019,62,14.82,5.52,20,10000,4.12,290,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-06-17,10,
2022-06-17 11:00:00,22.55,22.58,1019,66,15.88,7.4,20,10000,5.66,250,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-06-17,11,
2022-06-17 12:00:00,24.04,23.99,1019,57,15.0,8.58,20,10000,4.63,270,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-06-17,12,
2022-06-17 13:00:00,25.08,25.05,1019,54,15.13,9.04,20,10000,4.63,230,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-06-17,13,
2022-06-17 14:00:00,25.15,25.03,1018,50,14.0,8.08,20,10000,5.66,270,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-06-17,14,
2022-06-17 15:00:00,24.82,24.72,1018,52,14.3,6.27,20,10000,5.66,270,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-06-17,15,
2022-06-17 16:00:00,25.18,25.09,1018,51,14.33,4.14,20,10000,5.66,250,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-06-17,16,
2022-06-17 17:00:00,23.35,23.31,1017,60,15.15,2.24,20,10000,5.81,295,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-06-17,17,8.05
2022-06-17 18:00:00,22.21,21.97,1017,57,13.29,0.92,20,10000,6.17,310,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-06-17,18,
2022-06-17 19:00:00,21.36,21.17,1017,62,13.79,0.25,20,10000,6.26,322,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-06-17,19,8.05
2022-06-17 20:00:00,20.23,20.03,1017,66,13.68,0.0,0,10000,4.63,300,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-06-17,20,
2022-06-17 21:00:00,19.46,19.24,1017,68,13.41,0.0,0,10000,3.58,327,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-06-17,21,4.47
2022-06-17 22:00:00,19.13,18.98,1018,72,13.97,0.0,20,10000,4.12,330,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-06-17,22,
2022-06-17 23:00:00,18.92,18.83,1018,75,14.4,0.0,20,10000,5.14,290,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-06-17,23,
