dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,date,hour,wind_gust,rain
2022-03-06 00:00:00,10.37,9.32,1009,71,5.35,0.0,0,10000,4.63,330,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-06,0,,
2022-03-06 01:00:00,9.71,7.84,1010,74,5.31,0.0,0,10000,3.6,330,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-06,1,,
2022-03-06 02:00:00,9.62,7.48,1009,72,4.83,0.0,0,10000,4.12,340,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-06,2,,
2022-03-06 03:00:00,9.66,7.31,1009,67,3.84,0.0,0,10000,4.63,10,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-06,3,,
2022-03-06 04:00:00,9.49,7.1,1009,65,3.25,0.0,0,10000,4.63,30,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-06,4,,
2022-03-06 05:00:00,9.1,6.84,1009,67,3.3,0.0,0,10000,4.12,30,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-06,5,,
2022-03-06 06:00:00,8.73,6.64,1010,68,3.16,0.0,0,10000,3.6,340,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-06,6,,
2022-03-06 07:00:00,8.0,5.75,1010,69,2.67,0.0,0,10000,3.6,20,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-03-06,7,,
2022-03-06 08:00:00,8.48,6.34,1011,68,2.92,0.32,0,10000,3.6,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-03-06,8,,
2022-03-06 09:00:00,11.21,9.82,1011,55,2.51,1.06,20,10000,4.63,20,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-03-06,9,,
2022-03-06 10:00:00,12.55,11.11,1011,48,1.84,2.3,20,10000,5.66,10,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-03-06,10,,
2022-03-06 11:00:00,13.38,11.84,1011,41,0.41,3.56,20,10000,5.14,60,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-03-06,11,,
2022-03-06 12:00:00,14.68,13.14,1011,36,-0.19,4.44,20,10000,6.17,20,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-03-06,12,,
2022-03-06 13:00:00,15.57,14.02,1010,32,-0.92,4.74,20,10000,6.69,10,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-03-06,13,,
2022-03-06 14:00:00,16.34,14.94,1009,35,0.86,4.02,20,10000,7.72,340,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-03-06,14,,
