dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,wind_gust,date,hour
2022-06-25 00:00:00,18.52,18.44,1018,77,14.42,0.0,75,10000,3.09,280,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-06-25,0
2022-06-25 01:00:00,18.5,18.42,1017,77,14.4,0.0,75,10000,2.57,290,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-06-25,1
2022-06-25 02:00:00,17.55,17.5,1015,82,14.44,0.0,40,10000,4.47,247,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",6.71,2022-06-25,2
2022-06-25 03:00:00,17.56,17.51,1014,82,14.45,0.0,40,10000,2.57,240,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,2022-06-25,3
2022-06-25 04:00:00,17.53,17.53,1016,84,14.8,0.0,75,8000,2.57,270,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-06-25,4
2022-06-25 05:00:00,16.85,16.86,1014,87,14.67,0.0,75,9000,3.13,360,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",4.92,2022-06-25,5
2022-06-25 06:00:00,17.03,16.96,1015,83,14.12,0.14,75,10000,5.66,350,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,2022-06-25,6
2022-06-25 07:00:00,17.52,17.42,1015,80,14.03,0.5,40,10000,4.47,315,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",5.81,2022-06-25,7
2022-06-25 08:00:00,18.25,18.01,1015,72,13.12,1.34,20,10000,8.05,360,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",9.83,2022-06-25,8
2022-06-25 09:00:00,19.96,19.58,1016,60,11.97,2.66,20,10000,8.49,360,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",8.49,2022-06-25,9
2022-06-25 10:00:00,20.41,20.02,1015,58,11.88,4.2,40,10000,11.62,225,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",11.62,2022-06-25,10
2022-06-25 11:00:00,21.68,21.16,1015,48,10.2,5.64,40,10000,6.71,270,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",14.31,2022-06-25,11
2022-06-25 12:00:00,22.44,21.89,1015,44,9.6,6.54,40,10000,7.72,330,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-06-25,12
2022-06-25 13:00:00,22.58,21.99,1015,42,9.03,9.4,20,10000,7.72,330,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-06-25,13
