dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,wind_gust,date,hour,rain
2022-11-07 00:00:00,15.65,15.49,1020,85,13.14,0.0,40,10000,1.54,20,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,2022-11-07,0,
2022-11-07 01:00:00,14.97,15.03,1021,96,14.34,0.0,75,10000,1.54,60,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-11-07,1,
2022-11-07 02:00:00,15.93,15.67,1019,80,12.49,0.0,75,10000,0.0,0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-11-07,2,
2022-11-07 03:00:00,15.28,15.08,1019,85,12.78,0.0,75,10000,1.54,30,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-11-07,3,
2022-11-07 04:00:00,15.51,15.28,1019,83,12.64,0.0,75,8000,1.79,112,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2.24,2022-11-07,4,
2022-11-07 05:00:00,14.89,14.68,1019,86,12.57,0.0,75,5000,2.06,40,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",,2022-11-07,5,
2022-11-07 06:00:00,15.13,14.89,1018,84,12.45,0.0,75,4000,2.24,135,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]",2.68,2022-11-07,6,
2022-11-07 07:00:00,14.68,14.71,1020,96,14.05,0.0,75,3000,2.06,50,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}, {'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50n'}]",,2022-11-07,7,
2022-11-07 08:00:00,14.61,14.4,1018,87,12.47,0.0,75,800,1.79,135,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}, {'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",2.68,2022-11-07,8,
2022-11-07 09:00:00,14.64,14.46,1019,88,12.68,0.49,75,1200,2.24,135,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}, {'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",2.24,2022-11-07,9,
