dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,date,hour
2023-01-17 00:00:00,13.55,12.84,1015,72,8.61,0.0,20,10000,6.26,266,9.83,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2023-01-17,0
2023-01-17 01:00:00,14.01,13.35,1015,72,9.05,0.0,75,10000,16.09,315,16.09,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2023-01-17,1
2023-01-17 02:00:00,14.04,13.35,1014,71,8.87,0.0,75,9000,15.2,360,16.99,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2023-01-17,2
2023-01-17 03:00:00,13.83,13.12,1013,71,8.67,0.0,75,10000,8.49,360,12.52,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2023-01-17,3
2023-01-17 04:00:00,13.78,13.2,1012,76,9.63,0.0,75,10000,12.07,315,12.07,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2023-01-17,4
2023-01-17 05:00:00,13.95,13.39,1011,76,9.79,0.0,75,10000,12.07,292,19.67,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2023-01-17,5
2023-01-17 06:00:00,13.98,13.44,1011,77,10.02,0.0,75,10000,10.73,360,13.86,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2023-01-17,6
2023-01-17 07:00:00,14.0,13.39,1011,74,9.44,0.0,75,10000,12.07,360,17.43,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2023-01-17,7
2023-01-17 08:00:00,13.64,12.86,1012,69,8.07,0.0,20,10000,13.86,292,14.31,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2023-01-17,8
2023-01-17 09:00:00,13.79,12.9,1013,64,7.11,0.34,75,10000,8.49,315,13.86,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2023-01-17,9
2023-01-17 10:00:00,14.05,13.23,1013,66,7.8,0.89,75,10000,8.23,310,14.4,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2023-01-17,10
2023-01-17 11:00:00,14.13,13.19,1014,61,6.73,1.59,40,10000,15.2,315,16.99,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",2023-01-17,11
2023-01-17 12:00:00,13.98,13.0,1015,60,6.35,2.08,40,10000,16.99,360,16.99,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",2023-01-17,12
2023-01-17 13:00:00,13.51,12.67,1014,67,7.51,1.06,40,10000,12.96,360,22.8,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",2023-01-17,13
2023-01-17 14:00:00,12.93,12.05,1013,68,7.17,0.87,40,10000,9.26,310,14.92,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",2023-01-17,14
2023-01-17 15:00:00,12.98,12.03,1013,65,6.56,0.54,20,10000,12.52,315,12.52,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2023-01-17,15
2023-01-17 16:00:00,13.63,12.69,1012,63,6.73,0.15,20,10000,21.01,315,21.01,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2023-01-17,16
2023-01-17 17:00:00,12.66,11.73,1011,67,6.7,0.0,75,10000,12.52,315,14.75,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2023-01-17,17
2023-01-17 18:00:00,11.25,10.39,1012,75,6.99,0.0,75,8000,10.73,315,10.73,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2023-01-17,18
2023-01-17 19:00:00,10.88,10.01,1013,76,6.82,0.0,20,8000,12.07,360,19.22,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2023-01-17,19
2023-01-17 20:00:00,10.43,9.51,1013,76,6.39,0.0,20,10000,9.39,315,14.31,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2023-01-17,20
2023-01-17 21:00:00,10.47,9.5,1014,74,6.04,0.0,40,10000,8.05,270,9.83,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",2023-01-17,21
2023-01-17 22:00:00,10.41,9.41,1014,73,5.78,0.0,20,10000,7.6,360,12.96,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2023-01-17,22
2023-01-17 23:00:00,10.3,9.47,1015,80,7.01,0.0,20,10000,8.49,304,16.54,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2023-01-17,23
2023-01-18 00:00:00,10.27,9.44,1015,80,6.98,0.0,20,10000,7.72,300,13.89,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2023-01-18,0
2023-01-18 01:00:00,9.6,6.51,1015,78,5.96,0.0,20,10000,6.71,328,11.62,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2023-01-18,1
2023-01-18 02:00:00,8.89,5.9,1014,75,4.71,0.0,20,10000,5.81,157,16.09,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2023-01-18,2
2023-01-18 03:00:00,9.44,6.05,1015,69,4.05,0.0,20,10000,7.6,360,13.86,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2023-01-18,3
2023-01-18 04:00:00,8.73,5.25,1015,72,3.97,0.0,40,10000,7.2,330,14.4,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",2023-01-18,4
2023-01-18 05:00:00,9.52,5.16,1014,67,3.7,0.0,40,10000,12.07,247,15.2,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",2023-01-18,5
2023-01-18 06:00:00,8.43,4.07,1016,74,4.07,0.0,75,8000,10.28,315,11.62,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2023-01-18,6
2023-01-18 07:00:00,8.71,4.93,1017,77,4.91,0.0,20,10000,8.23,330,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2023-01-18,7
2023-01-18 08:00:00,8.88,5.29,1017,71,3.92,0.0,20,10000,7.72,330,12.86,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2023-01-18,8
