dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,wind_gust,rain,date,hour
2022-11-22 00:00:00,13.5,12.81,1022,73,8.76,0.0,20,10000,2.57,270,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,,2022-11-22,0
2022-11-22 01:00:00,13.13,12.43,1022,74,8.61,0.0,20,10000,3.6,290,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,,2022-11-22,1
2022-11-22 02:00:00,12.96,12.3,1022,76,8.84,0.0,20,10000,3.13,255,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",4.92,,2022-11-22,2
2022-11-22 03:00:00,13.5,12.84,1021,74,8.96,0.0,20,10000,3.13,268,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",4.02,{'1h': 0.18},2022-11-22,3
2022-11-22 04:00:00,13.54,13.04,1021,80,10.16,0.0,20,10000,2.24,315,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",4.92,{'1h': 0.42},2022-11-22,4
2022-11-22 05:00:00,13.5,12.99,1020,80,10.12,0.0,20,10000,3.6,270,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,,2022-11-22,5
2022-11-22 06:00:00,13.54,13.06,1020,81,10.35,0.0,20,10000,2.68,225,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",4.47,,2022-11-22,6
2022-11-22 07:00:00,13.75,13.43,1019,86,11.45,0.0,20,10000,2.57,150,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,,2022-11-22,7
2022-11-22 08:00:00,14.32,14.0,1020,84,11.66,0.0,20,10000,5.81,270,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",6.71,,2022-11-22,8
2022-11-22 09:00:00,15.69,15.43,1020,81,12.44,0.1,20,10000,9.83,225,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",9.83,,2022-11-22,9
