dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,wind_gust,date,hour,rain
2022-01-03 00:00:00,12.86,12.58,1025,91,11.43,0.0,90,150,0.0,0,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50n'}]",,2022-01-03,0,
2022-01-03 01:00:00,12.51,12.19,1025,91,11.08,0.0,90,150,0.0,0,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50n'}]",,2022-01-03,1,
2022-01-03 02:00:00,12.14,11.79,1024,91,10.72,0.0,90,150,0.45,131,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50n'}]",1.34,2022-01-03,2,
2022-01-03 03:00:00,11.87,11.49,1024,91,10.45,0.0,90,150,0.89,116,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50n'}]",1.79,2022-01-03,3,
2022-01-03 04:00:00,11.71,11.31,1024,91,10.29,0.0,90,150,0.89,95,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50n'}]",2.24,2022-01-03,4,
2022-01-03 05:00:00,11.75,11.36,1025,91,10.33,0.0,90,150,0.89,115,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50n'}]",1.79,2022-01-03,5,
2022-01-03 06:00:00,11.41,10.98,1024,91,9.99,0.0,90,150,1.34,137,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50n'}]",2.24,2022-01-03,6,
2022-01-03 07:00:00,11.21,10.81,1024,93,10.12,0.0,90,150,0.89,105,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50n'}]",2.68,2022-01-03,7,
2022-01-03 08:00:00,10.87,10.44,1024,93,9.78,0.0,90,100,0.89,133,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",2.68,2022-01-03,8,
2022-01-03 09:00:00,11.03,10.62,1026,93,9.94,0.23,90,100,2.57,50,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",,2022-01-03,9,
2022-01-03 10:00:00,11.65,11.33,1027,94,10.72,0.79,90,100,2.57,50,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",,2022-01-03,10,
2022-01-03 11:00:00,12.93,12.76,1027,95,12.15,1.42,90,150,1.54,50,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",,2022-01-03,11,
2022-01-03 12:00:00,13.77,13.6,1026,92,12.49,1.89,75,300,1.03,0,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",,2022-01-03,12,
2022-01-03 13:00:00,14.66,14.48,1025,88,12.7,2.0,75,1000,1.03,0,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",,2022-01-03,13,
2022-01-03 14:00:00,14.59,14.38,1025,87,12.45,1.6,40,3000,1.54,100,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",7.2,2022-01-03,14,
2022-01-03 15:00:00,14.42,14.24,1024,89,12.63,0.96,40,3000,1.54,120,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",,2022-01-03,15,
2022-01-03 16:00:00,13.5,13.33,1024,93,12.39,0.4,40,8000,2.06,220,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",,2022-01-03,16,
2022-01-03 17:00:00,13.26,12.97,1024,89,11.49,0.0,40,9000,2.57,220,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-01-03,17,
2022-01-03 18:00:00,12.92,12.64,1021,91,11.49,0.0,75,9000,1.79,290,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",6.71,2022-01-03,18,
2022-01-03 19:00:00,13.2,12.95,1021,91,11.76,0.0,75,9000,4.47,288,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",6.71,2022-01-03,19,
