dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,date,hour,wind_gust
2022-06-13 00:00:00,21.64,21.56,1015,65,14.78,0.0,0,10000,3.6,320,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-06-13,0,
2022-06-13 01:00:00,21.22,21.02,1015,62,13.66,0.0,0,10000,3.09,310,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-06-13,1,
2022-06-13 02:00:00,20.76,20.61,1014,66,14.18,0.0,0,10000,3.6,310,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-06-13,2,
2022-06-13 03:00:00,20.23,20.14,1015,70,14.59,0.0,0,10000,3.6,320,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-06-13,3,
2022-06-13 04:00:00,18.97,18.93,1014,77,14.85,0.0,0,10000,2.06,10,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-06-13,4,
2022-06-13 05:00:00,18.81,18.78,1015,78,14.9,0.0,0,10000,0.51,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-06-13,5,
2022-06-13 06:00:00,18.7,18.77,1014,82,15.57,0.18,0,10000,4.12,30,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-06-13,6,
2022-06-13 07:00:00,20.4,20.48,1015,76,16.03,0.78,0,10000,3.6,30,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-06-13,7,
2022-06-13 08:00:00,22.14,22.13,1015,66,15.49,2.1,0,10000,3.6,60,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-06-13,8,
2022-06-13 09:00:00,23.4,23.47,1015,64,16.21,4.21,0,10000,3.09,140,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-06-13,9,
