dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,rain,date,hour
2022-10-19 00:00:00,19.93,20.2,1015,85,17.33,0.0,75,10000,19.22,360,23.69,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-10-19,0
2022-10-19 01:00:00,19.7,19.95,1014,85,17.11,0.0,75,10000,27.72,135,29.5,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-10-19,1
2022-10-19 02:00:00,19.93,20.17,1014,84,17.15,0.0,75,10000,28.61,315,29.95,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-10-19,2
2022-10-19 03:00:00,19.65,19.89,1013,85,17.06,0.0,75,10000,23.69,315,25.03,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-10-19,3
2022-10-19 04:00:00,19.65,19.86,1013,84,16.87,0.0,75,10000,19.67,225,29.95,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-10-19,4
2022-10-19 05:00:00,19.7,19.92,1012,84,16.92,0.0,40,10000,19.22,180,29.06,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,2022-10-19,5
2022-10-19 06:00:00,18.6,18.79,1013,87,16.4,0.0,40,3000,13.86,360,24.59,"[{'id': 522, 'main': 'Rain', 'description': 'heavy intensity shower rain', 'icon': '09n'}]",{'1h': 4.86},2022-10-19,6
2022-10-19 07:00:00,17.23,17.41,1013,92,15.92,0.0,75,10000,20.12,225,20.12,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,2022-10-19,7
2022-10-19 08:00:00,17.38,17.68,1015,96,16.74,0.14,75,7000,9.39,262,13.41,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,2022-10-19,8
2022-10-19 09:00:00,16.63,16.88,1016,97,16.15,0.54,75,3000,6.17,250,,"[{'id': 310, 'main': 'Drizzle', 'description': 'light intensity drizzle rain', 'icon': '09d'}, {'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'1h': 0.27},2022-10-19,9
2022-10-19 10:00:00,17.39,17.51,1016,89,15.56,0.83,75,10000,4.12,210,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,2022-10-19,10
2022-10-19 11:00:00,17.28,17.41,1017,90,15.63,1.34,75,10000,4.12,210,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'1h': 0.24},2022-10-19,11
2022-10-19 12:00:00,16.96,17.09,1015,91,15.48,1.71,40,10000,6.69,230,11.83,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-10-19,12
2022-10-19 13:00:00,17.82,17.8,1014,82,14.71,1.76,40,10000,9.83,315,19.22,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-10-19,13
2022-10-19 14:00:00,18.22,18.29,1013,84,15.47,1.47,40,10000,12.07,315,12.96,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-10-19,14
2022-10-19 15:00:00,18.53,18.55,1014,81,15.21,0.97,20,10000,5.66,210,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-10-19,15
2022-10-19 16:00:00,18.2,18.27,1015,84,15.45,0.98,40,10000,5.66,210,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-10-19,16
2022-10-19 17:00:00,15.65,15.67,1014,92,14.36,0.3,75,2500,5.66,260,,"[{'id': 522, 'main': 'Rain', 'description': 'heavy intensity shower rain', 'icon': '09d'}]",{'1h': 0.27},2022-10-19,17
2022-10-19 18:00:00,15.32,15.39,1014,95,14.52,0.0,40,10000,3.09,200,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.75},2022-10-19,18
2022-10-19 19:00:00,15.62,15.69,1014,94,14.66,0.0,20,10000,5.14,200,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-10-19,19
2022-10-19 20:00:00,15.26,15.32,1014,95,14.46,0.0,20,10000,3.09,190,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-10-19,20
2022-10-19 21:00:00,15.23,15.11,1012,88,13.26,0.0,20,10000,2.68,225,4.47,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-10-19,21
2022-10-19 22:00:00,15.33,15.22,1012,88,13.36,0.0,40,10000,2.24,225,4.92,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,2022-10-19,22
2022-10-19 23:00:00,15.75,15.76,1012,91,14.29,0.0,75,10000,7.6,270,9.39,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-10-19,23
2022-10-20 00:00:00,16.15,16.17,1011,90,14.51,0.0,75,10000,7.6,270,13.86,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-10-20,0
2022-10-20 01:00:00,16.75,16.78,1011,88,14.75,0.0,75,10000,9.39,270,12.07,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-10-20,1
2022-10-20 02:00:00,17.33,17.44,1010,89,15.5,0.0,75,10000,10.28,225,15.2,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-10-20,2
2022-10-20 03:00:00,17.75,17.85,1009,87,15.56,0.0,75,8000,14.31,157,20.12,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-10-20,3
2022-10-20 04:00:00,17.75,17.85,1009,87,15.56,0.0,75,10000,10.73,180,16.54,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-10-20,4
2022-10-20 05:00:00,17.75,17.85,1009,87,15.56,0.0,75,10000,13.86,225,16.54,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-10-20,5
2022-10-20 06:00:00,17.77,17.87,1009,87,15.58,0.0,40,10000,9.83,360,17.88,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,2022-10-20,6
2022-10-20 07:00:00,18.23,18.28,1008,83,15.3,0.0,75,10000,16.09,315,19.67,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,2022-10-20,7
2022-10-20 08:00:00,17.19,17.37,1011,92,15.88,0.12,40,10000,5.66,200,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-10-20,8
2022-10-20 09:00:00,17.13,17.2,1009,88,15.13,0.49,40,10000,10.28,360,16.09,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-10-20,9
2022-10-20 10:00:00,17.67,17.76,1009,87,15.48,1.14,75,10000,12.52,292,16.99,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,2022-10-20,10
2022-10-20 11:00:00,18.65,18.84,1009,87,16.44,1.85,75,10000,17.43,180,17.43,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",,2022-10-20,11
2022-10-20 12:00:00,19.93,20.12,1009,82,16.77,2.35,75,10000,17.43,225,17.43,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,2022-10-20,12
2022-10-20 13:00:00,20.57,20.69,1009,77,16.4,2.21,40,10000,16.99,315,22.8,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-10-20,13
2022-10-20 14:00:00,20.51,20.57,1009,75,15.93,1.84,20,10000,13.86,315,19.22,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-10-20,14
2022-10-20 15:00:00,20.42,20.58,1011,79,16.66,1.21,40,10000,7.72,220,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-10-20,15
2022-10-20 16:00:00,18.61,18.72,1010,84,15.86,0.61,75,5000,10.28,270,10.28,"[{'id': 310, 'main': 'Drizzle', 'description': 'light intensity drizzle rain', 'icon': '09d'}, {'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'1h': 0.12},2022-10-20,16
2022-10-20 17:00:00,17.86,17.92,1010,85,15.31,0.18,40,10000,7.15,315,11.62,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-10-20,17
2022-10-20 18:00:00,17.81,17.89,1011,86,15.44,0.0,20,10000,4.47,270,9.83,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-10-20,18
2022-10-20 19:00:00,17.86,18.0,1011,88,15.85,0.0,20,10000,4.02,270,6.71,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-10-20,19
2022-10-20 20:00:00,18.47,18.75,1013,91,16.97,0.0,40,10000,3.6,210,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,2022-10-20,20
2022-10-20 21:00:00,17.91,18.05,1012,88,15.9,0.0,40,10000,6.71,270,7.15,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,2022-10-20,21
2022-10-20 22:00:00,17.91,18.08,1012,89,16.07,0.0,75,10000,5.36,315,8.49,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09n'}]",,2022-10-20,22
2022-10-20 23:00:00,17.8,17.88,1012,86,15.43,0.0,20,10000,9.39,180,9.39,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-10-20,23
