dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,rain,wind_gust,date,hour
2022-05-12 00:00:00,19.58,18.66,1011,41,5.99,0.0,0,10000,3.09,340,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.13},,2022-05-12,0
2022-05-12 01:00:00,19.11,18.17,1012,42,5.91,0.0,0,10000,1.54,320,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-05-12,1
2022-05-12 02:00:00,17.9,17.03,1011,49,7.05,0.0,0,10000,2.57,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-05-12,2
2022-05-12 03:00:00,17.31,16.48,1011,53,7.65,0.0,0,10000,3.6,320,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'1h': 0.24},,2022-05-12,3
2022-05-12 04:00:00,17.45,16.69,1011,55,8.32,0.0,0,10000,1.54,60,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-05-12,4
2022-05-12 05:00:00,17.47,16.6,1010,51,7.24,0.0,0,10000,0.89,45,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,1.79,2022-05-12,5
2022-05-12 06:00:00,16.8,16.02,1011,57,8.24,0.0,0,10000,3.09,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,2022-05-12,6
2022-05-12 07:00:00,17.8,17.12,1012,57,9.18,0.47,0,10000,5.14,20,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,2022-05-12,7
2022-05-12 08:00:00,19.71,19.17,1012,55,10.43,1.41,0,10000,5.14,10,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,2022-05-12,8
2022-05-12 09:00:00,21.76,21.09,1012,42,8.3,2.95,0,10000,4.12,10,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,2022-05-12,9
2022-05-12 10:00:00,23.85,23.2,1013,35,7.48,4.81,0,10000,3.6,350,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,2022-05-12,10
2022-05-12 11:00:00,25.54,24.96,1013,31,7.18,6.58,0,10000,3.6,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,2022-05-12,11
2022-05-12 12:00:00,26.79,26.29,1013,30,7.78,7.71,0,10000,3.6,320,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,2022-05-12,12
2022-05-12 13:00:00,28.09,27.12,1012,29,8.4,7.78,0,10000,3.6,340,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,2022-05-12,13
2022-05-12 14:00:00,28.52,27.44,1012,29,8.77,6.9,0,10000,3.6,80,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,2022-05-12,14
2022-05-12 15:00:00,28.9,27.91,1016,32,10.56,5.27,0,10000,3.6,290,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,2022-05-12,15
2022-05-12 16:00:00,29.17,28.21,1016,33,11.26,3.53,0,10000,3.6,220,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,2022-05-12,16
2022-05-12 17:00:00,27.62,27.4,1016,41,13.19,1.79,0,10000,4.63,260,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,2022-05-12,17
2022-05-12 18:00:00,26.35,26.35,1011,44,13.13,0.67,0,10000,6.69,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,2022-05-12,18
2022-05-12 19:00:00,24.37,24.14,1013,49,12.98,0.15,0,10000,6.17,310,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,2022-05-12,19
2022-05-12 20:00:00,21.92,21.55,1013,53,11.92,0.0,0,10000,6.69,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-05-12,20
2022-05-12 21:00:00,20.8,20.24,1014,50,10.01,0.0,0,10000,6.69,10,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-05-12,21
2022-05-12 22:00:00,19.73,19.04,1015,49,8.73,0.0,0,10000,7.2,10,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-05-12,22
2022-05-12 23:00:00,19.36,18.74,1015,53,9.55,0.0,0,10000,4.12,330,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-05-12,23
2022-05-13 00:00:00,19.36,18.63,1013,49,8.39,0.0,0,10000,2.57,310,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-05-13,0
2022-05-13 01:00:00,19.52,18.83,1012,50,8.83,0.0,0,10000,3.09,310,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-05-13,1
2022-05-13 02:00:00,19.04,18.38,1014,53,9.25,0.0,0,10000,1.54,130,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-05-13,2
2022-05-13 03:00:00,18.61,17.75,1013,47,7.09,0.0,0,10000,1.54,300,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-05-13,3
2022-05-13 04:00:00,18.0,17.24,1013,53,8.29,0.0,0,10000,3.09,300,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2022-05-13,4
2022-05-13 05:00:00,17.14,16.42,1013,58,8.82,0.0,0,10000,0.45,307,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,1.79,2022-05-13,5
2022-05-13 06:00:00,17.77,17.06,1014,56,8.89,0.0,0,10000,2.06,20,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,2022-05-13,6
2022-05-13 07:00:00,18.79,18.21,1015,57,10.1,0.5,0,10000,2.57,20,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,2022-05-13,7
