dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,date,hour
2022-10-01 00:00:00,15.42,15.0,1021,76,11.22,0.0,0,10000,7.15,135,7.15,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-10-01,0
2022-10-01 01:00:00,15.06,14.63,1021,77,11.06,0.0,0,10000,8.49,360,8.49,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-10-01,1
2022-10-01 02:00:00,14.95,14.51,1020,77,10.96,0.0,0,10000,4.47,135,7.6,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-10-01,2
2022-10-01 03:00:00,14.87,14.4,1021,76,10.68,0.0,0,10000,2.68,135,5.36,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-10-01,3
2022-10-01 04:00:00,14.57,14.07,1021,76,10.39,0.0,0,10000,4.02,135,4.02,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-10-01,4
2022-10-01 05:00:00,14.53,14.08,1023,78,10.74,0.0,0,10000,3.09,330,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-10-01,5
2022-10-01 06:00:00,14.22,13.68,1021,76,10.05,0.0,0,10000,4.12,10,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-10-01,6
2022-10-01 07:00:00,13.55,13.05,1022,80,10.17,0.0,0,10000,3.13,135,3.13,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-10-01,7
2022-10-01 08:00:00,15.33,14.93,1023,77,11.33,0.41,0,10000,2.57,20,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-10-01,8
2022-10-01 09:00:00,17.46,17.14,1024,72,12.36,1.32,0,10000,4.63,40,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-10-01,9
2022-10-01 10:00:00,18.79,18.55,1024,70,13.21,2.82,0,10000,5.36,135,6.71,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-10-01,10
2022-10-01 11:00:00,20.4,20.19,1024,65,13.61,4.36,0,10000,3.13,180,5.81,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-10-01,11
2022-10-01 12:00:00,23.34,23.01,1024,49,12.03,5.42,0,10000,4.47,135,5.36,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-10-01,12
2022-10-01 13:00:00,24.95,24.7,1023,46,12.54,5.45,0,10000,4.47,135,5.81,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-10-01,13
