dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,wind_gust,date,hour,rain
2022-04-20 00:00:00,11.62,10.53,1013,65,5.27,0.0,75,10000,8.23,350,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-04-20,0,
2022-04-20 01:00:00,11.65,10.59,1012,66,5.52,0.0,75,10000,7.72,330,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-04-20,1,
2022-04-20 02:00:00,11.16,10.11,1012,68,5.48,0.0,20,10000,8.23,340,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-04-20,2,
2022-04-20 03:00:00,11.06,10.02,1011,69,5.6,0.0,20,10000,7.72,340,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-04-20,3,
2022-04-20 04:00:00,11.11,10.1,1011,70,5.85,0.0,75,10000,7.2,330,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-04-20,4,
2022-04-20 05:00:00,10.82,9.81,1011,71,5.78,0.0,40,10000,7.72,330,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,2022-04-20,5,
2022-04-20 06:00:00,10.73,9.82,1012,75,6.48,0.0,40,10000,11.32,340,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",16.98,2022-04-20,6,
2022-04-20 07:00:00,10.82,9.89,1011,74,6.38,0.28,20,10000,8.75,350,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-04-20,7,
2022-04-20 08:00:00,12.04,11.08,1010,68,6.32,1.04,20,10000,9.77,360,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-04-20,8,
2022-04-20 09:00:00,13.71,12.65,1011,58,5.6,2.38,75,10000,13.38,340,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,2022-04-20,9,
2022-04-20 10:00:00,14.6,13.42,1012,50,4.3,4.15,40,10000,14.92,340,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",20.58,2022-04-20,10,
