dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,wind_gust,rain,date,hour
2022-03-31 00:00:00,13.27,12.82,1007,83,10.45,0.0,75,10000,3.6,310,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,,2022-03-31,0
2022-03-31 01:00:00,12.95,12.47,1006,83,10.13,0.0,75,10000,3.13,320,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",5.36,,2022-03-31,1
2022-03-31 02:00:00,12.96,12.43,1006,81,9.78,0.0,75,10000,3.13,330,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",4.92,,2022-03-31,2
2022-03-31 03:00:00,12.96,12.4,1006,80,9.6,0.0,75,10000,3.09,310,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,,2022-03-31,3
2022-03-31 04:00:00,13.03,12.48,1006,80,9.66,0.0,40,10000,3.09,310,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,,2022-03-31,4
2022-03-31 05:00:00,12.51,11.91,1005,80,9.16,0.0,75,10000,2.57,330,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",,{'1h': 1.02},2022-03-31,5
2022-03-31 06:00:00,12.36,11.79,1007,82,9.38,0.0,40,10000,3.09,320,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,,2022-03-31,6
2022-03-31 07:00:00,12.72,12.19,1008,82,9.73,0.13,40,10000,3.6,310,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,,2022-03-31,7
2022-03-31 08:00:00,12.99,12.41,1008,79,9.44,0.62,20,10000,4.63,310,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,2022-03-31,8
2022-03-31 09:00:00,13.86,13.29,1009,76,9.71,1.6,40,10000,4.63,310,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,,2022-03-31,9
