dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,wind_gust,date,hour,rain
2022-04-25 00:00:00,12.25,11.75,1007,85,9.8,0.0,0,10000,0.0,0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-04-25,0,
2022-04-25 01:00:00,12.16,11.68,1007,86,9.89,0.0,0,10000,1.54,220,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-04-25,1,
2022-04-25 02:00:00,11.67,11.16,1006,87,9.58,0.0,0,10000,0.51,270,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-04-25,2,
2022-04-25 03:00:00,11.21,10.66,1006,87,9.13,0.0,0,10000,0.45,45,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.89,2022-04-25,3,
2022-04-25 04:00:00,10.66,10.13,1007,90,9.09,0.0,75,10000,2.06,100,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-04-25,4,
2022-04-25 05:00:00,10.86,10.35,1007,90,9.29,0.0,75,7000,1.03,80,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,2022-04-25,5,
2022-04-25 06:00:00,10.73,10.29,1007,93,9.65,0.0,75,3000,2.06,40,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",,2022-04-25,6,
2022-04-25 07:00:00,11.76,11.37,1012,91,10.34,0.3,40,2400,1.54,60,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}, {'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",,2022-04-25,7,
2022-04-25 08:00:00,12.38,12.1,1008,93,11.28,1.03,75,4500,3.09,120,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}, {'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",,2022-04-25,8,
2022-04-25 09:00:00,15.36,15.09,1007,82,12.31,2.3,75,8000,3.09,150,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",,2022-04-25,9,
2022-04-25 10:00:00,16.28,15.95,1007,76,12.05,4.2,40,9000,4.63,140,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",,2022-04-25,10,
2022-04-25 11:00:00,16.9,16.45,1008,69,11.18,5.86,40,10000,4.63,170,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",,2022-04-25,11,
2022-04-25 12:00:00,18.1,17.61,1008,63,10.95,6.93,40,10000,5.66,180,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",,2022-04-25,12,
2022-04-25 13:00:00,18.43,17.9,1007,60,10.53,7.18,20,10000,5.66,190,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-04-25,13,
2022-04-25 14:00:00,18.58,18.06,1007,60,10.67,6.32,20,10000,6.17,240,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-04-25,14,
2022-04-25 15:00:00,18.69,18.08,1007,56,9.75,4.74,20,10000,6.17,230,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-04-25,15,
2022-04-25 16:00:00,18.36,17.74,1006,57,9.7,2.9,20,10000,6.17,240,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-04-25,16,
2022-04-25 17:00:00,17.78,17.21,1007,61,10.17,1.4,20,10000,5.66,230,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-04-25,17,
2022-04-25 18:00:00,16.8,16.29,1007,67,10.64,0.46,20,10000,6.17,230,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-04-25,18,
2022-04-25 19:00:00,15.68,15.24,1007,74,11.06,0.0,20,10000,5.66,230,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-04-25,19,
2022-04-25 20:00:00,14.88,14.43,1007,77,10.89,0.0,20,10000,3.6,260,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-04-25,20,
2022-04-25 21:00:00,15.16,14.82,1007,80,11.74,0.0,20,10000,3.6,250,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-04-25,21,
2022-04-25 22:00:00,15.16,14.87,1008,82,12.11,0.0,20,10000,2.06,220,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-04-25,22,
2022-04-25 23:00:00,14.91,14.6,1008,82,11.87,0.0,20,10000,2.57,230,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-04-25,23,
2022-04-26 00:00:00,14.67,14.39,1007,84,12.0,0.0,20,10000,2.06,210,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-04-26,0,
2022-04-26 01:00:00,14.54,14.3,1007,86,12.23,0.0,20,10000,2.06,150,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-04-26,1,
2022-04-26 02:00:00,14.3,14.08,1007,88,12.34,0.0,20,10000,1.54,210,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-04-26,2,
2022-04-26 03:00:00,14.46,14.29,1006,89,12.67,0.0,20,10000,1.54,210,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-04-26,3,
2022-04-26 04:00:00,14.53,14.34,1007,88,12.57,0.0,20,10000,2.06,190,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-04-26,4,
2022-04-26 05:00:00,14.42,14.24,1006,89,12.63,0.0,40,10000,2.57,200,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",,2022-04-26,5,{'1h': 0.21}
2022-04-26 06:00:00,14.44,14.29,1007,90,12.82,0.0,20,10000,2.57,170,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",,2022-04-26,6,{'1h': 0.27}
2022-04-26 07:00:00,14.48,14.33,1008,90,12.86,0.33,75,10000,3.09,250,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09d'}]",,2022-04-26,7,
2022-04-26 08:00:00,15.02,14.9,1008,89,13.22,1.12,75,10000,3.6,170,"[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09d'}]",,2022-04-26,8,
2022-04-26 09:00:00,14.66,14.53,1008,90,13.04,2.52,75,9000,4.12,180,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,2022-04-26,9,
