dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,wind_gust,date,hour,rain
2022-03-30 00:00:00,13.3,12.59,1005,73,8.57,0.0,20,10000,5.66,320,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-03-30,0,
2022-03-30 01:00:00,13.34,12.61,1005,72,8.4,0.0,20,10000,9.26,330,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-03-30,1,
2022-03-30 02:00:00,12.83,12.13,1005,75,8.51,0.0,20,10000,8.23,330,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-03-30,2,
2022-03-30 03:00:00,12.79,12.0,1004,72,7.87,0.0,40,10000,7.2,330,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,2022-03-30,3,
2022-03-30 04:00:00,12.49,11.62,1004,70,7.17,0.0,20,10000,6.69,330,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-03-30,4,
2022-03-30 05:00:00,12.15,11.27,1004,71,7.06,0.0,20,10000,7.6,246,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",12.07,2022-03-30,5,
2022-03-30 06:00:00,12.09,11.23,1005,72,7.2,0.0,20,10000,8.75,330,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-03-30,6,
2022-03-30 07:00:00,12.44,11.65,1006,73,7.74,0.13,20,10000,9.26,330,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",14.4,2022-03-30,7,
2022-03-30 08:00:00,13.12,12.34,1006,71,7.99,0.63,20,10000,11.32,340,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-03-30,8,
2022-03-30 09:00:00,14.57,13.78,1006,65,8.07,1.64,20,10000,9.77,340,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-03-30,9,
2022-03-30 10:00:00,15.1,14.34,1007,64,8.35,3.09,75,10000,10.8,340,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",17.49,2022-03-30,10,
