dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,wind_gust,date,hour
2022-05-07 00:00:00,17.06,16.21,1016,53,7.42,0.0,0,10000,2.57,340,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-05-07,0
2022-05-07 01:00:00,17.09,16.19,1015,51,6.88,0.0,0,10000,2.57,320,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-05-07,1
2022-05-07 02:00:00,16.06,15.37,1015,63,9.03,0.0,0,10000,3.09,320,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-05-07,2
2022-05-07 03:00:00,16.57,15.82,1014,59,8.54,0.0,0,10000,3.09,310,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-05-07,3
2022-05-07 04:00:00,15.91,15.23,1014,64,9.12,0.0,0,10000,2.57,310,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-05-07,4
2022-05-07 05:00:00,14.47,13.85,1015,72,9.49,0.0,0,10000,1.54,10,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-05-07,5
2022-05-07 06:00:00,14.2,13.66,1016,76,10.04,0.0,0,10000,5.14,30,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-05-07,6
2022-05-07 07:00:00,15.52,15.09,1016,75,11.11,0.44,0,10000,3.09,30,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-05-07,7
2022-05-07 08:00:00,18.02,17.63,1016,67,11.81,1.39,0,10000,2.06,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-05-07,8
2022-05-07 09:00:00,20.26,19.75,1016,54,10.66,2.97,0,10000,3.6,40,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-05-07,9
2022-05-07 10:00:00,22.22,21.75,1016,48,10.7,4.95,0,10000,4.12,100,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-05-07,10
