dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,wind_gust,date,hour,rain
2022-10-08 00:00:00,17.77,17.56,1016,75,13.29,0.0,0,10000,3.6,320,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-10-08,0,
2022-10-08 01:00:00,17.93,17.71,1016,74,13.23,0.0,0,10000,3.09,330,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-10-08,1,
2022-10-08 02:00:00,17.21,17.15,1018,83,14.3,0.0,0,10000,4.63,320,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,2022-10-08,2,
2022-10-08 03:00:00,15.61,15.55,1017,89,13.8,0.0,20,10000,5.66,310,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-10-08,3,
2022-10-08 04:00:00,15.8,15.81,1017,91,14.33,0.0,20,10000,6.17,320,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-10-08,4,
2022-10-08 05:00:00,16.1,15.93,1015,83,13.21,0.0,20,10000,4.63,320,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-10-08,5,
2022-10-08 06:00:00,15.85,15.76,1017,87,13.69,0.0,20,10000,5.14,20,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,2022-10-08,6,
2022-10-08 07:00:00,15.05,14.96,1017,90,13.42,0.0,20,10000,4.12,10,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-10-08,7,
2022-10-08 08:00:00,16.56,16.52,1017,86,14.21,0.3,20,10000,3.09,30,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-10-08,8,
2022-10-08 09:00:00,20.31,20.17,1016,68,14.22,1.06,0,10000,3.6,20,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-10-08,9,
2022-10-08 10:00:00,22.34,22.2,1016,60,14.2,2.27,0,10000,4.92,135,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",4.92,2022-10-08,10,
2022-10-08 11:00:00,23.72,23.66,1017,58,14.97,3.57,0,10000,3.6,10,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-10-08,11,
2022-10-08 12:00:00,24.76,24.75,1017,56,15.4,4.46,0,10000,3.09,10,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-10-08,12,
2022-10-08 13:00:00,27.3,27.92,1016,53,16.89,4.33,0,10000,3.09,350,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-10-08,13,
2022-10-08 14:00:00,27.83,28.52,1015,53,17.38,3.65,0,10000,3.6,40,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,2022-10-08,14,
2022-10-08 15:00:00,28.2,28.58,1013,49,16.48,2.49,20,10000,5.66,30,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-10-08,15,
2022-10-08 16:00:00,27.42,28.13,1014,54,17.29,1.3,20,10000,6.17,20,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-10-08,16,
2022-10-08 17:00:00,26.06,26.06,1013,50,14.84,0.44,20,10000,5.66,20,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-10-08,17,
2022-10-08 18:00:00,22.85,22.94,1013,67,16.4,0.0,20,10000,6.17,310,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,2022-10-08,18,
