dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,date,hour,wind_gust
2022-04-06 00:00:00,10.33,9.3,1011,72,5.51,0.0,20,10000,3.09,20,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",2022-04-06,0,
2022-04-06 01:00:00,10.65,9.57,1011,69,5.2,0.0,40,10000,3.09,320,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",2022-04-06,1,
2022-04-06 02:00:00,10.7,9.58,1011,67,4.83,0.0,40,10000,2.57,350,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",2022-04-06,2,
2022-04-06 03:00:00,10.64,9.54,1011,68,4.99,0.0,0,10000,2.06,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-04-06,3,
2022-04-06 04:00:00,10.21,9.09,1011,69,4.78,0.0,0,10000,1.54,60,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-04-06,4,
2022-04-06 05:00:00,9.56,6.8,1011,71,4.57,0.0,0,10000,5.66,70,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-04-06,5,
2022-04-06 06:00:00,8.81,7.75,1012,75,4.63,0.0,0,10000,2.06,270,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-04-06,6,
2022-04-06 07:00:00,9.95,9.09,1013,72,5.14,0.17,0,10000,2.06,260,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-04-06,7,
2022-04-06 08:00:00,12.02,11.08,1014,69,6.52,0.71,20,10000,2.06,230,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-04-06,8,
2022-04-06 09:00:00,14.06,13.22,1014,65,7.59,1.81,20,10000,4.63,330,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-04-06,9,
2022-04-06 10:00:00,15.51,14.71,1015,61,8.03,2.98,20,10000,3.6,340,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-04-06,10,
2022-04-06 11:00:00,16.53,15.73,1015,57,7.99,4.3,20,10000,3.09,0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-04-06,11,
2022-04-06 12:00:00,16.88,16.06,1016,55,7.79,5.16,20,10000,5.14,330,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-04-06,12,
2022-04-06 13:00:00,17.26,16.4,1015,52,7.32,4.92,20,10000,5.14,320,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-04-06,13,
2022-04-06 14:00:00,17.7,16.81,1016,49,6.86,4.28,20,10000,9.77,340,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-04-06,14,
2022-04-06 15:00:00,17.47,16.55,1015,49,6.65,3.13,20,10000,8.23,330,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-04-06,15,
2022-04-06 16:00:00,17.09,16.24,1016,53,7.45,2.12,20,10000,8.23,340,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-04-06,16,
2022-04-06 17:00:00,16.04,15.32,1016,62,8.77,0.94,20,10000,5.66,320,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",2022-04-06,17,
2022-04-06 18:00:00,14.8,14.11,1016,68,8.96,0.26,75,10000,6.69,320,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-04-06,18,
2022-04-06 19:00:00,14.05,13.34,1017,70,8.67,0.0,75,10000,5.14,330,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2022-04-06,19,
2022-04-06 20:00:00,13.51,12.69,1018,68,7.73,0.0,75,10000,5.66,330,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-04-06,20,
2022-04-06 21:00:00,13.25,12.46,1019,70,7.9,0.0,75,10000,5.66,350,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-04-06,21,
2022-04-06 22:00:00,13.16,12.33,1019,69,7.61,0.0,75,10000,5.66,350,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-04-06,22,
2022-04-06 23:00:00,13.2,12.4,1019,70,7.86,0.0,75,10000,4.12,320,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-04-06,23,
2022-04-07 00:00:00,13.0,12.18,1019,70,7.66,0.0,75,10000,4.63,330,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",2022-04-07,0,
