dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,wind_gust,rain,date,hour
2023-01-26 00:00:00,7.41,5.34,1025,64,1.05,0.0,0,10000,3.09,320,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2023-01-26,0
2023-01-26 01:00:00,7.86,5.88,1025,63,1.26,0.0,0,10000,3.09,310,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2023-01-26,1
2023-01-26 02:00:00,6.85,5.73,1024,66,0.95,0.0,0,10000,1.79,345,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2.68,,2023-01-26,2
2023-01-26 03:00:00,7.46,4.87,1024,63,0.88,0.0,0,10000,4.02,315,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",4.02,,2023-01-26,3
2023-01-26 04:00:00,7.8,5.51,1023,67,2.06,0.0,0,10000,3.6,320,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2023-01-26,4
2023-01-26 05:00:00,7.8,5.24,1023,69,2.48,0.0,0,10000,4.12,320,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2023-01-26,5
2023-01-26 06:00:00,7.8,4.06,1022,70,2.68,0.0,0,10000,7.15,315,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",9.39,,2023-01-26,6
2023-01-26 07:00:00,8.31,4.72,1022,71,3.37,0.0,20,10000,7.15,315,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",8.49,,2023-01-26,7
2023-01-26 08:00:00,6.85,3.32,1022,76,2.92,0.0,20,10000,5.81,315,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",5.81,,2023-01-26,8
2023-01-26 09:00:00,9.41,7.0,1023,72,4.62,0.35,20,10000,4.63,320,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,2023-01-26,9
2023-01-26 10:00:00,10.5,9.38,1023,68,4.85,0.82,75,10000,5.36,360,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",12.52,,2023-01-26,10
2023-01-26 11:00:00,11.11,10.0,1022,66,5.01,1.39,75,10000,14.31,315,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",14.31,,2023-01-26,11
2023-01-26 12:00:00,11.69,10.53,1021,62,4.66,1.8,40,10000,18.78,292,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",18.78,,2023-01-26,12
2023-01-26 13:00:00,11.66,10.45,1020,60,4.16,1.57,40,10000,14.75,315,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",17.43,,2023-01-26,13
2023-01-26 14:00:00,11.47,10.19,1019,58,3.5,1.29,20,10000,11.62,315,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",11.62,,2023-01-26,14
2023-01-26 15:00:00,11.74,10.56,1018,61,4.48,0.83,20,10000,14.31,315,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",17.43,,2023-01-26,15
2023-01-26 16:00:00,12.76,11.66,1018,60,5.2,0.21,20,10000,14.75,360,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",19.22,,2023-01-26,16
2023-01-26 17:00:00,12.07,11.0,1018,64,5.48,0.05,40,10000,15.2,337,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",15.2,{'1h': 0.27},2023-01-26,17
2023-01-26 18:00:00,9.49,6.66,1017,78,5.85,0.0,75,9000,5.81,292,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10.28,{'1h': 0.49},2023-01-26,18
2023-01-26 19:00:00,9.34,6.98,1017,75,5.14,0.0,20,10000,4.47,360,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",5.36,,2023-01-26,19
2023-01-26 20:00:00,8.74,4.58,1018,78,5.12,0.0,0,10000,9.83,337,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",16.09,,2023-01-26,20
2023-01-26 21:00:00,8.78,5.81,1018,75,4.6,0.0,0,10000,5.66,10,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,2023-01-26,21
2023-01-26 22:00:00,8.39,5.27,1018,72,3.64,0.0,0,10000,5.81,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",9.39,,2023-01-26,22
