dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather,date,hour
2022-01-22 00:00:00,9.2,7.22,1020,63,2.53,0.0,0,10000,3.6,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-22,0
2022-01-22 01:00:00,8.56,6.44,1020,63,1.92,0.0,0,10000,3.6,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-22,1
2022-01-22 02:00:00,8.14,5.93,1020,64,1.75,0.0,0,10000,3.6,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-22,2
2022-01-22 03:00:00,7.68,5.09,1020,63,1.09,0.0,0,10000,4.12,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-22,3
2022-01-22 04:00:00,6.99,4.52,1020,65,0.87,0.0,0,10000,3.6,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-22,4
2022-01-22 05:00:00,6.94,4.46,1020,66,1.03,0.0,0,10000,3.6,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-22,5
2022-01-22 06:00:00,6.38,3.49,1020,70,1.32,0.0,0,10000,4.12,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-22,6
2022-01-22 07:00:00,6.06,3.1,1020,71,1.21,0.0,0,10000,4.12,40,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-22,7
2022-01-22 08:00:00,5.92,2.92,1021,71,1.07,0.0,0,10000,4.12,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-01-22,8
2022-01-22 09:00:00,6.83,4.04,1021,66,0.93,0.36,0,10000,4.12,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-01-22,9
2022-01-22 10:00:00,8.13,5.41,1022,60,0.84,0.95,0,10000,4.63,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-01-22,10
2022-01-22 11:00:00,9.44,6.65,1022,59,1.84,1.67,0,10000,5.66,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-01-22,11
2022-01-22 12:00:00,11.26,9.93,1021,57,3.06,2.18,0,10000,5.66,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-01-22,12
2022-01-22 13:00:00,12.74,11.43,1020,52,3.14,2.24,0,10000,4.63,60,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-01-22,13
2022-01-22 14:00:00,13.93,12.71,1020,51,3.97,1.83,0,10000,4.12,70,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-01-22,14
2022-01-22 15:00:00,14.73,13.54,1019,49,4.14,1.15,0,10000,3.6,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-01-22,15
2022-01-22 16:00:00,15.41,14.26,1019,48,4.47,0.47,0,10000,3.09,40,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-01-22,16
2022-01-22 17:00:00,14.63,13.48,1019,51,4.62,0.1,0,10000,4.63,40,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-01-22,17
2022-01-22 18:00:00,12.87,11.67,1019,56,4.32,0.0,0,10000,3.09,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-22,18
2022-01-22 19:00:00,12.41,11.17,1019,56,3.89,0.0,0,10000,3.6,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-22,19
2022-01-22 20:00:00,11.89,10.62,1019,57,3.65,0.0,0,10000,3.6,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-22,20
2022-01-22 21:00:00,11.18,9.87,1018,58,3.23,0.0,0,10000,5.14,40,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-22,21
2022-01-22 22:00:00,10.68,9.32,1018,58,2.76,0.0,0,10000,4.63,40,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-22,22
2022-01-22 23:00:00,10.46,9.1,1018,59,2.8,0.0,0,10000,5.14,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-22,23
2022-01-23 00:00:00,9.48,7.09,1020,63,2.8,0.0,0,10000,4.63,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-23,0
2022-01-23 01:00:00,9.53,7.37,1017,61,2.39,0.0,0,10000,4.12,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-23,1
2022-01-23 02:00:00,8.56,5.94,1019,66,2.58,0.0,0,10000,4.63,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-23,2
2022-01-23 03:00:00,8.66,6.3,1019,66,2.67,0.0,0,10000,4.12,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-23,3
2022-01-23 04:00:00,8.6,6.49,1017,63,1.96,0.0,0,10000,3.6,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-23,4
2022-01-23 05:00:00,7.84,5.29,1018,67,2.1,0.0,0,10000,4.12,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-23,5
2022-01-23 06:00:00,7.35,4.44,1018,69,2.04,0.0,0,10000,4.63,40,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-23,6
2022-01-23 07:00:00,7.25,4.56,1018,69,1.95,0.0,0,10000,4.12,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-23,7
2022-01-23 08:00:00,7.21,4.51,1019,69,1.91,0.0,0,10000,4.12,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-01-23,8
2022-01-23 09:00:00,7.62,4.35,1020,69,2.3,0.36,0,10000,5.66,40,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-01-23,9
2022-01-23 10:00:00,8.78,6.01,1020,65,2.57,0.93,0,10000,5.14,60,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-01-23,10
2022-01-23 11:00:00,10.25,8.98,1020,63,3.53,1.63,0,10000,6.17,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-01-23,11
2022-01-23 12:00:00,11.58,10.36,1019,60,4.09,2.11,0,10000,5.14,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-01-23,12
2022-01-23 13:00:00,13.04,11.91,1019,58,4.98,2.19,0,10000,5.66,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-01-23,13
2022-01-23 14:00:00,14.08,13.01,1018,56,5.45,1.79,0,10000,4.63,50,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-01-23,14
2022-01-23 15:00:00,14.82,13.74,1017,53,5.34,1.13,0,10000,3.6,60,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-01-23,15
2022-01-23 16:00:00,14.97,13.88,1017,52,5.21,0.48,0,10000,3.6,60,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-01-23,16
2022-01-23 17:00:00,14.51,13.45,1017,55,5.59,0.11,0,10000,2.57,60,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",2022-01-23,17
2022-01-23 18:00:00,13.15,12.06,1018,59,5.33,0.0,0,10000,3.09,30,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-23,18
2022-01-23 19:00:00,12.43,11.35,1018,62,5.36,0.0,0,10000,2.57,20,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-23,19
2022-01-23 20:00:00,11.98,10.9,1018,64,5.39,0.0,0,10000,2.57,360,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-23,20
2022-01-23 21:00:00,11.6,10.51,1019,65,5.25,0.0,0,10000,3.09,40,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-23,21
2022-01-23 22:00:00,11.2,10.13,1018,67,5.31,0.0,0,10000,3.6,30,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-23,22
2022-01-23 23:00:00,10.74,9.59,1019,66,4.65,0.0,0,10000,4.63,30,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",2022-01-23,23
