dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,pop,rain,date,hour
2022-12-05 15:00:00,15.85,15.5,1007,77,11.83,0.65,40,10000,1.65,82,2.31,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",0.73,{'1h': 0.2},2022-12-05,15
2022-12-05 16:00:00,15.44,15.15,1007,81,12.2,0.4,52,10000,1.55,67,2.1,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",0.69,,2022-12-05,16
2022-12-05 17:00:00,14.98,14.73,1007,84,12.3,0.0,64,10000,1.66,43,1.93,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",0.65,,2022-12-05,17
2022-12-05 18:00:00,14.4,14.19,1007,88,12.44,0.0,76,10000,2.07,26,2.52,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.65,,2022-12-05,18
2022-12-05 19:00:00,13.5,13.33,1008,93,12.39,0.0,88,10000,2.27,24,2.65,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.13,,2022-12-05,19
2022-12-05 20:00:00,12.54,12.38,1009,97,12.27,0.0,66,10000,2.0,19,2.15,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.12,,2022-12-05,20
2022-12-05 21:00:00,12.32,12.11,1010,96,12.01,0.0,56,10000,2.08,18,2.54,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.08,,2022-12-05,21
2022-12-05 22:00:00,12.13,11.88,1010,95,11.65,0.0,47,10000,1.93,355,2.08,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0.08,,2022-12-05,22
2022-12-05 23:00:00,11.99,11.7,1010,94,11.37,0.0,40,10000,1.88,338,2.1,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0.04,,2022-12-05,23
2022-12-06 00:00:00,11.81,11.5,1011,94,11.1,0.0,33,10000,1.8,340,1.99,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0.0,,2022-12-06,0
2022-12-06 01:00:00,11.68,11.33,1012,93,10.93,0.0,6,10000,1.72,1,2.19,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,,2022-12-06,1
2022-12-06 02:00:00,11.67,11.32,1012,93,10.82,0.0,7,10000,1.64,338,1.87,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,,2022-12-06,2
2022-12-06 03:00:00,12.03,11.66,1013,91,10.88,0.0,16,10000,1.64,345,2.23,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",0.0,,2022-12-06,3
2022-12-06 04:00:00,12.69,12.29,1013,87,10.85,0.0,34,10000,1.73,335,2.28,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0.0,,2022-12-06,4
2022-12-06 05:00:00,13.21,12.73,1013,82,10.48,0.0,47,10000,2.08,342,2.41,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0.0,,2022-12-06,5
2022-12-06 06:00:00,13.49,12.96,1013,79,10.13,0.0,56,10000,2.01,333,2.22,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.0,,2022-12-06,6
2022-12-06 07:00:00,13.54,12.96,1014,77,9.95,0.0,100,10000,1.62,324,1.72,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.0,,2022-12-06,7
2022-12-06 08:00:00,13.22,12.71,1015,81,10.26,0.0,100,10000,1.0,297,1.15,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,,2022-12-06,8
2022-12-06 09:00:00,13.4,12.91,1016,81,10.54,0.16,100,10000,0.64,308,0.76,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,,2022-12-06,9
2022-12-06 10:00:00,13.92,13.43,1016,79,10.65,0.68,100,10000,0.35,288,0.48,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,,2022-12-06,10
2022-12-06 11:00:00,14.6,14.07,1016,75,10.39,1.23,100,10000,0.58,241,0.73,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,,2022-12-06,11
2022-12-06 12:00:00,15.1,14.47,1016,69,9.74,1.65,100,10000,0.89,262,1.19,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,,2022-12-06,12
2022-12-06 13:00:00,15.17,14.52,1015,68,9.64,1.81,100,10000,1.24,241,1.41,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.03,,2022-12-06,13
2022-12-06 14:00:00,15.05,14.44,1015,70,9.98,1.45,100,10000,1.65,224,2.06,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.03,,2022-12-06,14
2022-12-06 15:00:00,14.78,14.22,1015,73,10.28,0.86,100,10000,1.13,186,1.53,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,,2022-12-06,15
2022-12-06 16:00:00,14.83,14.25,1015,72,10.18,0.35,100,10000,1.0,151,1.27,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.03,,2022-12-06,16
2022-12-06 17:00:00,14.14,13.59,1015,76,10.26,0.0,100,10000,1.19,156,1.18,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.03,,2022-12-06,17
2022-12-06 18:00:00,13.62,13.1,1016,79,10.28,0.0,100,10000,1.15,145,1.19,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.03,,2022-12-06,18
2022-12-06 19:00:00,13.25,12.75,1016,81,10.29,0.0,77,10000,1.24,152,1.3,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.24,,2022-12-06,19
2022-12-06 20:00:00,12.95,12.44,1016,82,10.34,0.0,62,10000,1.52,138,1.69,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.16,,2022-12-06,20
2022-12-06 21:00:00,12.5,12.02,1016,85,10.26,0.0,47,10000,1.45,135,1.77,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0.13,,2022-12-06,21
2022-12-06 22:00:00,12.19,11.71,1016,86,10.17,0.0,39,10000,1.9,137,3.03,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0.09,,2022-12-06,22
2022-12-06 23:00:00,11.98,11.56,1016,89,10.46,0.0,50,10000,2.13,137,4.83,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0.09,,2022-12-06,23
2022-12-07 00:00:00,11.83,11.44,1015,91,10.74,0.0,57,10000,2.21,133,4.26,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.06,,2022-12-07,0
2022-12-07 01:00:00,12.04,11.68,1015,91,10.93,0.0,100,10000,2.12,142,3.57,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.0,,2022-12-07,1
2022-12-07 02:00:00,11.7,11.35,1014,93,10.78,0.0,97,10000,1.83,125,2.01,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.0,,2022-12-07,2
2022-12-07 03:00:00,11.39,11.04,1014,94,10.68,0.0,92,10000,1.77,116,2.01,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.0,,2022-12-07,3
2022-12-07 04:00:00,11.24,10.9,1013,95,10.71,0.0,94,10000,2.11,101,2.63,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.0,,2022-12-07,4
2022-12-07 05:00:00,11.14,10.79,1013,95,10.7,0.0,95,10000,1.99,98,2.79,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.0,,2022-12-07,5
2022-12-07 06:00:00,10.94,10.57,1012,95,10.49,0.0,96,10000,2.3,107,3.84,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.0,,2022-12-07,6
2022-12-07 07:00:00,10.72,10.33,1012,95,10.23,0.0,100,10000,2.3,102,4.28,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.0,,2022-12-07,7
2022-12-07 08:00:00,10.62,10.22,1012,95,10.1,0.0,100,10000,2.63,100,5.72,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,,2022-12-07,8
2022-12-07 09:00:00,11.3,10.89,1012,92,10.28,0.22,100,10000,3.66,103,7.95,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,,2022-12-07,9
2022-12-07 10:00:00,12.34,11.9,1012,87,10.54,0.48,100,10000,4.27,112,8.36,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,,2022-12-07,10
2022-12-07 11:00:00,13.62,13.1,1011,79,10.23,0.87,100,10000,4.76,115,7.78,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,,2022-12-07,11
