dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,pop,date,hour
2022-01-21 15:00:00,15.21,13.94,1018,44,3.05,1.07,0,10000,4.28,68,5.08,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0,2022-01-21,15
2022-01-21 16:00:00,14.95,13.62,1019,43,2.49,0.46,0,10000,5.04,60,5.71,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0,2022-01-21,16
2022-01-21 17:00:00,14.19,12.84,1020,45,2.44,0.1,0,10000,4.43,54,7.2,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0,2022-01-21,17
2022-01-21 18:00:00,12.71,11.32,1021,49,2.28,0.0,1,10000,3.7,50,7.53,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-01-21,18
2022-01-21 19:00:00,11.06,9.66,1022,55,2.37,0.0,5,10000,3.39,48,7.85,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-01-21,19
2022-01-21 20:00:00,9.51,7.64,1024,60,2.4,0.0,5,10000,3.51,56,8.31,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-01-21,20
2022-01-21 21:00:00,8.95,7.05,1024,62,2.2,0.0,6,10000,3.34,59,7.91,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-01-21,21
2022-01-21 22:00:00,8.31,6.37,1024,64,2.05,0.0,5,10000,3.19,62,7.22,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-01-21,22
2022-01-21 23:00:00,7.71,5.68,1025,66,2.03,0.0,5,10000,3.13,59,6.66,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-01-21,23
2022-01-22 00:00:00,7.21,5.03,1025,68,1.88,0.0,5,10000,3.2,59,6.74,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-01-22,0
2022-01-22 01:00:00,6.79,4.46,1024,68,1.58,0.0,5,10000,3.3,57,6.83,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-01-22,1
2022-01-22 02:00:00,6.36,3.92,1024,69,1.43,0.0,5,10000,3.34,62,6.32,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-01-22,2
2022-01-22 03:00:00,5.9,3.36,1024,72,1.48,0.0,5,10000,3.34,71,6.03,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-01-22,3
2022-01-22 04:00:00,5.56,2.99,1024,74,1.65,0.0,5,10000,3.28,73,5.98,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-01-22,4
2022-01-22 05:00:00,5.42,2.82,1025,76,1.73,0.0,4,10000,3.28,69,6.14,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-01-22,5
2022-01-22 06:00:00,5.25,2.39,1025,76,1.58,0.0,4,10000,3.62,66,6.74,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-01-22,6
2022-01-22 07:00:00,5.02,2.04,1025,75,1.21,0.0,0,10000,3.74,66,7.17,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-01-22,7
2022-01-22 08:00:00,4.75,1.75,1026,74,0.71,0.0,0,10000,3.67,64,7.33,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0,2022-01-22,8
2022-01-22 09:00:00,5.48,2.52,1026,66,0.02,0.36,0,10000,3.87,64,7.38,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0,2022-01-22,9
2022-01-22 10:00:00,7.13,4.26,1026,55,-1.06,0.93,0,10000,4.43,72,7.2,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0,2022-01-22,10
2022-01-22 11:00:00,8.9,6.36,1027,48,-1.19,1.62,0,10000,4.65,78,6.96,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0,2022-01-22,11
2022-01-22 12:00:00,10.6,8.86,1026,44,-0.91,2.11,0,10000,4.43,84,6.35,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0,2022-01-22,12
