dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,pop,rain,date,hour
2022-11-30 15:00:00,14.08,13.97,1012,93,12.97,0.27,75,8502,5.55,213,10.1,"[{'id': 502, 'main': 'Rain', 'description': 'heavy intensity rain', 'icon': '10d'}]",1.0,{'1h': 7.64},2022-11-30,15
2022-11-30 16:00:00,14.31,14.2,1012,92,13.03,0.3,80,10000,2.99,221,6.67,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",0.8,,2022-11-30,16
2022-11-30 17:00:00,14.37,14.26,1012,92,13.09,0.0,85,10000,1.82,247,5.05,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.8,,2022-11-30,17
2022-11-30 18:00:00,14.4,14.3,1011,92,13.12,0.0,90,10000,1.2,290,4.07,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",1.0,{'1h': 0.73},2022-11-30,18
2022-11-30 19:00:00,14.12,13.96,1012,91,12.67,0.0,70,10000,1.39,327,2.2,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",0.91,{'1h': 0.29},2022-11-30,19
2022-11-30 20:00:00,13.58,13.37,1012,91,12.46,0.0,53,10000,1.31,11,1.72,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",0.88,{'1h': 0.18},2022-11-30,20
2022-11-30 21:00:00,13.21,13.01,1012,93,12.37,0.0,69,10000,1.83,53,1.96,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",0.88,{'1h': 0.11},2022-11-30,21
2022-11-30 22:00:00,12.74,12.58,1012,96,12.37,0.0,76,3432,2.51,58,3.53,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.84,,2022-11-30,22
2022-11-30 23:00:00,12.13,11.93,1012,97,11.98,0.0,81,2848,3.32,57,5.47,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.8,,2022-11-30,23
2022-12-01 00:00:00,12.08,11.85,1012,96,11.77,0.0,84,5590,3.74,69,6.46,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.76,,2022-12-01,0
2022-12-01 01:00:00,12.05,11.79,1012,95,11.5,0.0,94,7480,4.06,63,6.16,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.12,,2022-12-01,1
2022-12-01 02:00:00,11.65,11.35,1012,95,11.13,0.0,96,8319,4.64,60,7.03,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.14,,2022-12-01,2
2022-12-01 03:00:00,11.2,10.83,1012,94,10.57,0.0,97,7667,5.03,74,8.38,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.15,,2022-12-01,3
2022-12-01 04:00:00,10.86,10.4,1012,92,9.88,0.0,95,10000,5.62,66,9.01,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.15,,2022-12-01,4
2022-12-01 05:00:00,10.7,10.2,1012,91,9.58,0.0,96,10000,5.32,61,8.93,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.11,,2022-12-01,5
2022-12-01 06:00:00,10.6,10.07,1013,90,9.38,0.0,95,10000,5.45,68,8.92,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.08,,2022-12-01,6
2022-12-01 07:00:00,10.61,10.02,1014,88,8.92,0.0,81,10000,5.11,64,8.8,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.0,,2022-12-01,7
2022-12-01 08:00:00,10.73,10.1,1014,86,8.73,0.0,85,10000,3.97,70,8.1,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,,2022-12-01,8
2022-12-01 09:00:00,10.91,10.22,1014,83,8.38,0.29,70,10000,4.01,64,7.41,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",0.0,,2022-12-01,9
2022-12-01 10:00:00,11.81,11.03,1015,76,8.02,0.76,57,10000,4.36,62,6.91,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",0.0,,2022-12-01,10
2022-12-01 11:00:00,13.0,12.16,1015,69,7.81,1.36,48,10000,4.59,56,6.69,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0.0,,2022-12-01,11
2022-12-01 12:00:00,13.95,13.05,1015,63,7.34,1.82,41,10000,4.8,50,6.54,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0.0,,2022-12-01,12
2022-12-01 13:00:00,14.45,13.49,1014,59,6.68,2.16,37,10000,5.0,52,6.86,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0.0,,2022-12-01,13
2022-12-01 14:00:00,14.8,13.8,1013,56,6.29,1.73,27,10000,4.92,56,7.07,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0.0,,2022-12-01,14
2022-12-01 15:00:00,15.19,14.17,1013,54,6.22,1.04,19,10000,4.88,61,7.23,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0.0,,2022-12-01,15
