dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,pop,rain,date,hour
2022-12-17 15:00:00,16.94,16.36,1021,64,10.09,0.97,20,10000,2.8,230,3.22,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0.0,,2022-12-17,15
2022-12-17 16:00:00,16.6,16.01,1021,65,10.0,0.4,22,10000,3.02,230,3.81,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0.0,,2022-12-17,16
2022-12-17 17:00:00,15.9,15.32,1020,68,10.01,0.0,30,10000,2.32,212,3.64,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0.0,,2022-12-17,17
2022-12-17 18:00:00,14.94,14.37,1020,72,9.94,0.0,37,10000,2.23,191,4.17,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0.0,,2022-12-17,18
2022-12-17 19:00:00,13.96,13.42,1020,77,10.0,0.0,30,10000,1.93,175,3.54,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0.0,,2022-12-17,19
2022-12-17 20:00:00,12.93,12.42,1021,82,10.23,0.0,58,10000,1.8,167,2.97,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.0,,2022-12-17,20
2022-12-17 21:00:00,12.69,12.21,1021,84,10.36,0.0,41,10000,2.22,159,4.49,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0.0,,2022-12-17,21
2022-12-17 22:00:00,12.52,12.07,1022,86,10.56,0.0,38,10000,2.31,158,5.15,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0.0,,2022-12-17,22
2022-12-17 23:00:00,12.35,11.96,1022,89,10.82,0.0,42,10000,2.18,157,5.23,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0.0,,2022-12-17,23
2022-12-18 00:00:00,12.33,11.99,1022,91,11.15,0.0,50,10000,2.54,157,6.19,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0.0,,2022-12-18,0
2022-12-18 01:00:00,12.36,12.08,1021,93,11.47,0.0,100,10000,2.85,151,6.82,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.0,,2022-12-18,1
2022-12-18 02:00:00,12.39,12.11,1021,93,11.55,0.0,100,10000,3.37,150,7.8,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.0,,2022-12-18,2
2022-12-18 03:00:00,12.28,11.97,1021,92,11.35,0.0,70,10000,3.81,149,8.63,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.0,,2022-12-18,3
2022-12-18 04:00:00,12.05,11.71,1021,92,11.12,0.0,56,10000,3.54,150,8.31,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.0,,2022-12-18,4
2022-12-18 05:00:00,11.94,11.62,1021,93,11.03,0.0,52,10000,3.3,146,7.44,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.0,,2022-12-18,5
2022-12-18 06:00:00,11.87,11.54,1021,93,11.06,0.0,58,10000,3.42,141,7.81,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.0,,2022-12-18,6
2022-12-18 07:00:00,11.8,11.46,1022,93,10.94,0.0,98,10000,3.51,137,7.86,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.0,,2022-12-18,7
2022-12-18 08:00:00,11.7,11.33,1022,92,10.79,0.0,99,10000,3.81,135,8.85,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,,2022-12-18,8
2022-12-18 09:00:00,12.22,11.85,1022,90,10.98,0.26,99,10000,4.02,138,9.4,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,,2022-12-18,9
2022-12-18 10:00:00,13.27,12.9,1023,86,11.23,0.71,98,10000,4.62,145,9.78,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,,2022-12-18,10
2022-12-18 11:00:00,14.31,13.94,1023,82,11.51,1.29,98,10000,5.51,152,10.35,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,,2022-12-18,11
2022-12-18 12:00:00,15.33,14.96,1023,78,11.83,1.72,98,10000,5.99,164,10.02,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,,2022-12-18,12
2022-12-18 13:00:00,15.96,15.57,1022,75,11.83,1.81,95,10000,6.68,169,10.22,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,,2022-12-18,13
2022-12-18 14:00:00,16.25,15.86,1021,74,11.86,1.44,98,10000,6.44,169,10.27,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,,2022-12-18,14
2022-12-18 15:00:00,16.26,15.9,1021,75,12.11,0.86,98,10000,6.7,171,10.59,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,,2022-12-18,15
2022-12-18 16:00:00,16.1,15.7,1021,74,11.78,0.28,99,10000,6.55,172,10.36,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,,2022-12-18,16
2022-12-18 17:00:00,15.58,15.18,1021,76,11.62,0.0,99,10000,5.89,175,10.5,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,,2022-12-18,17
