dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,pop,rain,date,hour
2022-07-01 15:00:00,24.45,24.15,1015,46,12.09,6.69,0,10000,7.19,335,6.66,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2022-07-01,15
2022-07-01 16:00:00,24.56,24.22,1015,44,11.51,4.41,0,10000,7.33,336,7.35,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2022-07-01,16
2022-07-01 17:00:00,24.14,23.78,1015,45,11.47,2.37,0,10000,7.43,337,8.27,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2022-07-01,17
2022-07-01 18:00:00,23.11,22.76,1015,49,11.82,0.96,0,10000,7.74,337,9.81,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2022-07-01,18
2022-07-01 19:00:00,21.24,20.91,1015,57,12.39,0.25,4,10000,7.82,339,11.6,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2022-07-01,19
2022-07-01 20:00:00,18.56,18.3,1015,70,13.41,0.0,7,10000,7.43,340,13.65,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2022-07-01,20
2022-07-01 21:00:00,17.9,17.68,1016,74,13.35,0.0,8,10000,6.74,344,13.74,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,,2022-07-01,21
2022-07-01 22:00:00,17.48,17.27,1016,76,13.57,0.0,7,10000,6.4,346,13.76,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,,2022-07-01,22
2022-07-01 23:00:00,17.24,17.08,1016,79,13.79,0.0,7,10000,5.58,349,13.16,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,,2022-07-01,23
2022-07-02 00:00:00,17.0,16.84,1015,80,13.72,0.0,10,10000,5.01,351,12.09,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,,2022-07-02,0
2022-07-02 01:00:00,16.59,16.45,1015,82,13.81,0.0,34,10000,4.12,351,10.46,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0.0,,2022-07-02,1
2022-07-02 02:00:00,16.46,16.33,1015,83,13.82,0.0,24,10000,3.52,352,9.1,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",0.0,,2022-07-02,2
2022-07-02 03:00:00,16.2,16.07,1015,84,13.74,0.0,23,10000,2.71,349,7.73,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",0.0,,2022-07-02,3
2022-07-02 04:00:00,16.12,15.98,1015,84,13.62,0.0,35,10000,2.33,344,6.81,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0.0,,2022-07-02,4
2022-07-02 05:00:00,16.0,15.87,1015,85,13.65,0.0,44,10000,2.16,346,6.51,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0.0,,2022-07-02,5
2022-07-02 06:00:00,16.3,16.15,1016,83,13.61,0.15,53,10000,2.04,351,5.46,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",0.0,,2022-07-02,6
2022-07-02 07:00:00,17.4,17.15,1016,75,13.29,0.65,87,10000,2.29,352,4.56,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,,2022-07-02,7
2022-07-02 08:00:00,19.34,19.0,1017,64,12.53,1.75,50,10000,2.43,350,3.88,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0.0,,2022-07-02,8
2022-07-02 09:00:00,21.42,21.05,1017,55,12.07,3.49,35,10000,2.55,346,3.47,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0.0,,2022-07-02,9
2022-07-02 10:00:00,23.4,23.05,1017,48,11.86,5.71,28,10000,2.53,332,2.74,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0.0,,2022-07-02,10
2022-07-02 11:00:00,24.94,24.64,1017,44,11.66,7.68,22,10000,2.46,315,2.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0.0,,2022-07-02,11
2022-07-02 12:00:00,25.88,25.62,1017,42,11.65,8.91,19,10000,2.95,310,2.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0.0,,2022-07-02,12
2022-07-02 13:00:00,26.54,26.54,1016,40,11.67,8.74,0,10000,3.36,308,2.32,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2022-07-02,13
2022-07-02 14:00:00,26.9,26.79,1016,40,12.03,7.8,0,10000,4.03,307,2.72,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2022-07-02,14
2022-07-02 15:00:00,26.85,26.76,1016,40,12.24,6.04,0,10000,5.0,309,3.7,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2022-07-02,15
2022-07-02 16:00:00,25.82,25.58,1016,43,12.21,3.99,0,10000,6.32,319,5.91,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2022-07-02,16
2022-07-02 17:00:00,24.15,23.85,1015,47,12.42,2.15,0,10000,6.84,327,8.26,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2022-07-02,17
2022-07-02 18:00:00,23.29,22.98,1015,50,12.52,0.87,1,10000,6.32,328,8.74,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2022-07-02,18
2022-07-02 19:00:00,21.83,21.53,1015,56,12.99,0.23,6,10000,5.76,327,9.04,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.34,,2022-07-02,19
2022-07-02 20:00:00,20.02,19.8,1015,66,13.68,0.0,7,10000,5.06,327,9.26,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.33,,2022-07-02,20
2022-07-02 21:00:00,18.87,18.74,1016,74,14.39,0.0,7,10000,4.53,329,8.65,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.36,,2022-07-02,21
2022-07-02 22:00:00,18.28,18.25,1016,80,14.98,0.0,7,10000,3.54,330,7.71,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",0.36,{'1h': 0.21},2022-07-02,22
2022-07-02 23:00:00,17.74,17.76,1016,84,15.32,0.0,5,10000,2.54,330,5.46,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",0.48,{'1h': 0.54},2022-07-02,23
2022-07-03 00:00:00,17.48,17.53,1016,86,15.38,0.0,5,10000,2.08,332,4.06,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",0.68,{'1h': 0.4},2022-07-03,0
2022-07-03 01:00:00,17.32,17.38,1016,87,15.46,0.0,4,10000,1.89,315,3.4,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",0.65,{'1h': 0.47},2022-07-03,1
2022-07-03 02:00:00,17.07,17.16,1016,89,15.45,0.0,4,10000,1.79,310,2.87,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.61,,2022-07-03,2
2022-07-03 03:00:00,16.92,17.02,1016,90,15.52,0.0,5,10000,1.64,315,2.8,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.61,,2022-07-03,3
