dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,pop,date,hour
2022-08-05 15:00:00,26.3,26.3,1015,57,17.11,5.11,20,10000,6.21,310,5.72,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0,2022-08-05,15
2022-08-05 16:00:00,25.86,26.02,1015,58,16.97,3.7,16,10000,6.12,310,6.28,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0,2022-08-05,16
2022-08-05 17:00:00,24.99,25.09,1015,59,16.43,1.84,12,10000,6.05,313,7.1,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0,2022-08-05,17
2022-08-05 18:00:00,23.56,23.62,1015,63,16.11,0.65,9,10000,6.01,315,7.84,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0,2022-08-05,18
2022-08-05 19:00:00,21.58,21.65,1015,71,16.1,0.13,4,10000,5.79,318,8.39,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0,2022-08-05,19
2022-08-05 20:00:00,19.21,19.28,1015,80,15.9,0.0,0,10000,5.09,317,8.67,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-08-05,20
2022-08-05 21:00:00,18.8,18.9,1015,83,16.03,0.0,0,10000,4.84,320,8.56,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-08-05,21
2022-08-05 22:00:00,18.62,18.73,1015,84,16.18,0.0,1,10000,4.15,318,7.82,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-08-05,22
2022-08-05 23:00:00,18.37,18.51,1015,86,16.25,0.0,2,10000,3.52,314,6.5,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-08-05,23
2022-08-06 00:00:00,18.17,18.31,1015,87,16.25,0.0,3,10000,3.26,315,5.78,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-08-06,0
2022-08-06 01:00:00,18.17,18.31,1015,87,16.26,0.0,21,10000,3.06,313,4.9,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",0,2022-08-06,1
