dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,pop,rain,date,hour
2021-12-19 15:00:00,16.71,15.87,1014,55,7.64,0.73,0,10000,6.63,122,10.62,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2021-12-19,15
2021-12-19 16:00:00,16.69,15.82,1014,54,7.35,0.27,20,10000,6.56,122,11.07,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0.0,,2021-12-19,16
2021-12-19 17:00:00,16.38,15.54,1015,56,7.59,0.0,40,10000,6.19,125,11.47,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0.0,,2021-12-19,17
2021-12-19 18:00:00,15.8,14.98,1015,59,7.81,0.0,59,10000,6.15,128,11.8,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.0,,2021-12-19,18
2021-12-19 19:00:00,15.13,14.34,1016,63,8.15,0.0,80,10000,6.39,124,12.33,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.0,,2021-12-19,19
2021-12-19 20:00:00,14.55,13.84,1018,68,8.92,0.0,100,10000,5.51,147,12.55,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.09,,2021-12-19,20
2021-12-19 21:00:00,14.33,13.67,1018,71,9.53,0.0,100,10000,5.38,153,11.67,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.25,,2021-12-19,21
2021-12-19 22:00:00,13.76,13.25,1017,79,10.49,0.0,100,10000,5.04,139,11.51,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",0.48,{'1h': 0.48},2021-12-19,22
2021-12-19 23:00:00,13.69,13.26,1017,82,10.89,0.0,100,10000,5.62,145,11.95,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",0.56,{'1h': 0.21},2021-12-19,23
2021-12-20 00:00:00,13.4,13.04,1017,86,11.45,0.0,99,10000,5.87,143,12.34,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",0.65,{'1h': 0.21},2021-12-20,0
2021-12-20 01:00:00,13.37,13.09,1017,89,11.87,0.0,100,10000,6.2,149,12.44,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.27,,2021-12-20,1
