dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,pop,rain,date,hour
2021-12-21 15:00:00,15.87,15.68,1010,83,12.99,0.63,75,10000,7.63,183,13.07,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",1.0,{'1h': 0.31},2021-12-21,15
2021-12-21 16:00:00,15.79,15.57,1011,82,12.73,0.18,80,10000,6.71,188,12.49,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",0.8,,2021-12-21,16
2021-12-21 17:00:00,15.36,15.14,1011,84,12.67,0.0,85,10000,6.52,184,15.16,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.8,,2021-12-21,17
2021-12-21 18:00:00,15.1,14.81,1012,82,12.05,0.0,89,10000,6.22,164,13.99,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.8,,2021-12-21,18
2021-12-21 19:00:00,14.62,14.36,1012,85,12.13,0.0,95,10000,6.81,160,12.96,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.57,,2021-12-21,19
2021-12-21 20:00:00,14.07,13.86,1013,89,12.56,0.0,100,10000,6.45,156,11.58,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",0.68,{'1h': 0.16},2021-12-21,20
2021-12-21 21:00:00,13.97,13.77,1013,90,12.55,0.0,100,10000,5.28,162,10.44,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",0.76,{'1h': 0.24},2021-12-21,21
2021-12-21 22:00:00,13.76,13.54,1014,90,12.38,0.0,100,10000,4.69,171,9.73,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",0.84,{'1h': 0.34},2021-12-21,22
2021-12-21 23:00:00,13.57,13.31,1014,89,12.1,0.0,100,10000,4.31,173,9.36,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",0.84,{'1h': 0.43},2021-12-21,23
2021-12-22 00:00:00,13.45,13.07,1014,85,11.32,0.0,100,10000,4.59,177,9.97,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",0.84,{'1h': 0.61},2021-12-22,0
2021-12-22 01:00:00,13.54,13.2,1014,86,11.57,0.0,91,10000,4.9,187,9.63,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",0.72,{'1h': 0.61},2021-12-22,1
2021-12-22 02:00:00,13.35,13.01,1014,87,11.58,0.0,95,10000,4.05,205,8.41,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",0.7,{'1h': 0.33},2021-12-22,2
2021-12-22 03:00:00,13.03,12.71,1015,89,11.53,0.0,97,10000,3.28,212,7.62,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",0.66,{'1h': 0.1},2021-12-22,3
2021-12-22 04:00:00,12.7,12.4,1015,91,11.53,0.0,97,10000,2.64,196,6.39,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.62,,2021-12-22,4
2021-12-22 05:00:00,12.44,12.14,1015,92,11.53,0.0,95,10000,2.22,184,5.11,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.66,,2021-12-22,5
2021-12-22 06:00:00,12.22,11.95,1015,94,11.47,0.0,81,10000,2.04,150,2.79,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.66,,2021-12-22,6
