dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,pop,date,hour
2022-08-25 15:00:00,25.26,25.28,1015,55,15.58,4.34,20,10000,7.66,335,9.77,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0,2022-08-25,15
2022-08-25 16:00:00,25.11,25.11,1015,55,15.44,2.96,16,10000,7.65,336,10.23,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0,2022-08-25,16
2022-08-25 17:00:00,24.45,24.47,1015,58,15.65,1.34,13,10000,7.75,336,11.12,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0,2022-08-25,17
2022-08-25 18:00:00,23.11,23.15,1015,64,15.93,0.4,9,10000,7.61,340,11.87,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0,2022-08-25,18
2022-08-25 19:00:00,21.16,21.24,1016,73,16.13,0.0,7,10000,6.64,339,12.78,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0,2022-08-25,19
2022-08-25 20:00:00,18.99,19.11,1016,83,16.34,0.0,5,10000,6.0,340,13.19,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-08-25,20
2022-08-25 21:00:00,18.58,18.71,1016,85,16.26,0.0,7,10000,5.35,341,12.17,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-08-25,21
2022-08-25 22:00:00,18.44,18.56,1016,85,16.09,0.0,8,10000,4.86,339,11.28,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-08-25,22
2022-08-25 23:00:00,18.36,18.47,1016,85,16.07,0.0,10,10000,5.09,337,10.51,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-08-25,23
2022-08-26 00:00:00,18.22,18.34,1016,86,16.1,0.0,12,10000,4.69,335,10.4,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",0,2022-08-26,0
2022-08-26 01:00:00,18.02,18.15,1015,87,16.14,0.0,17,10000,3.84,329,8.83,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",0,2022-08-26,1
2022-08-26 02:00:00,17.83,17.94,1015,87,15.97,0.0,15,10000,4.16,323,8.96,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",0,2022-08-26,2
2022-08-26 03:00:00,17.87,18.01,1015,88,16.12,0.0,22,10000,4.42,321,8.96,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",0,2022-08-26,3
2022-08-26 04:00:00,17.79,17.92,1014,88,16.04,0.0,26,10000,4.23,323,8.41,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0,2022-08-26,4
2022-08-26 05:00:00,17.82,17.93,1014,87,15.89,0.0,29,10000,3.7,323,7.55,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0,2022-08-26,5
