dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,pop,date,hour
2022-06-25 15:00:00,21.57,20.72,1015,36,5.88,6.47,20,10000,7.56,323,7.48,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0,2022-06-25,15
2022-06-25 16:00:00,21.38,20.57,1015,38,6.49,4.21,16,10000,7.59,327,7.67,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0,2022-06-25,16
2022-06-25 17:00:00,20.85,20.04,1015,40,6.77,2.28,12,10000,7.39,327,8.05,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0,2022-06-25,17
2022-06-25 18:00:00,20.03,19.24,1015,44,7.42,0.94,8,10000,6.89,332,7.89,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0,2022-06-25,18
2022-06-25 19:00:00,18.72,18.01,1016,52,8.67,0.25,4,10000,6.64,334,7.8,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0,2022-06-25,19
2022-06-25 20:00:00,17.02,16.4,1016,62,9.85,0.0,1,10000,5.97,339,8.21,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0,2022-06-25,20
2022-06-25 21:00:00,16.35,15.74,1017,65,9.92,0.0,1,10000,5.48,342,8.62,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-06-25,21
2022-06-25 22:00:00,15.85,15.19,1017,65,9.6,0.0,0,10000,4.92,345,8.21,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-06-25,22
2022-06-25 23:00:00,15.51,14.81,1016,65,9.09,0.0,0,10000,4.49,338,8.02,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-06-25,23
2022-06-26 00:00:00,15.29,14.62,1016,67,9.39,0.0,0,10000,4.68,340,8.74,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-06-26,0
