dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,pop,rain,date,hour
2023-01-26 15:00:00,11.57,10.32,1017,59,3.84,0.86,20,10000,8.45,355,15.01,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0.03,,2023-01-26,15
2023-01-26 16:00:00,11.67,10.49,1018,61,4.41,0.25,36,10000,7.33,352,13.72,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0.21,,2023-01-26,16
2023-01-26 17:00:00,11.1,10.09,1018,70,5.84,0.06,48,5727,7.75,351,12.71,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0.55,,2023-01-26,17
2023-01-26 18:00:00,10.61,9.66,1018,74,6.17,0.0,64,10000,5.09,342,11.24,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",0.75,{'1h': 0.74},2023-01-26,18
2023-01-26 19:00:00,9.88,7.74,1019,81,6.78,0.0,35,10000,4.25,0,10.85,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",0.39,{'1h': 0.12},2023-01-26,19
2023-01-26 20:00:00,9.05,6.71,1020,85,6.98,0.0,26,10000,4.27,16,10.65,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",0.61,{'1h': 0.15},2023-01-26,20
2023-01-26 21:00:00,8.92,6.36,1020,85,6.74,0.0,36,10000,4.7,19,10.12,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0.57,,2023-01-26,21
2023-01-26 22:00:00,7.73,5.02,1021,88,6.07,0.0,28,10000,4.4,21,9.18,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0.38,,2023-01-26,22
2023-01-26 23:00:00,7.0,4.52,1021,88,5.3,0.0,23,10000,3.62,26,8.09,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",0.38,,2023-01-26,23
2023-01-27 00:00:00,6.34,4.18,1021,88,4.74,0.0,19,10000,2.91,20,6.3,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",0.35,,2023-01-27,0
2023-01-27 01:00:00,5.92,3.81,1021,86,4.06,0.0,0,10000,2.73,22,5.78,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,,2023-01-27,1
2023-01-27 02:00:00,5.69,3.76,1021,84,3.41,0.0,0,10000,2.45,18,3.74,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,,2023-01-27,2
2023-01-27 03:00:00,5.5,3.62,1021,82,2.88,0.0,0,10000,2.35,17,3.09,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,,2023-01-27,3
2023-01-27 04:00:00,5.36,3.49,1021,79,2.35,0.0,0,10000,2.31,13,3.06,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,,2023-01-27,4
2023-01-27 05:00:00,5.29,3.59,1021,77,1.82,0.0,0,10000,2.12,13,2.47,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,,2023-01-27,5
2023-01-27 06:00:00,5.09,3.38,1021,76,1.48,0.0,0,10000,2.09,16,2.4,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,,2023-01-27,6
2023-01-27 07:00:00,4.87,3.24,1022,76,1.28,0.0,0,10000,1.98,12,2.21,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,,2023-01-27,7
2023-01-27 08:00:00,4.96,3.33,1022,76,1.36,0.0,0,10000,1.99,5,4.24,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2023-01-27,8
2023-01-27 09:00:00,6.2,4.67,1023,74,2.14,0.37,0,10000,2.1,353,5.96,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2023-01-27,9
2023-01-27 10:00:00,7.76,5.58,1023,69,2.61,0.96,0,10000,3.4,10,8.13,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2023-01-27,10
2023-01-27 11:00:00,9.07,7.23,1023,62,2.4,1.64,0,10000,3.28,10,5.02,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2023-01-27,11
2023-01-27 12:00:00,10.81,9.36,1023,54,2.19,2.13,0,10000,3.05,1,4.62,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2023-01-27,12
2023-01-27 13:00:00,11.99,10.6,1022,52,2.53,2.26,1,10000,4.45,0,6.68,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2023-01-27,13
2023-01-27 14:00:00,12.49,11.13,1021,51,2.88,1.85,2,10000,5.06,3,6.63,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2023-01-27,14
2023-01-27 15:00:00,12.71,11.29,1021,48,2.15,1.18,3,10000,5.23,12,6.66,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2023-01-27,15
2023-01-27 16:00:00,12.31,10.9,1021,50,2.33,0.52,4,10000,5.31,11,6.98,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2023-01-27,16
2023-01-27 17:00:00,11.12,9.85,1022,60,3.91,0.13,4,10000,5.14,359,7.25,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2023-01-27,17
2023-01-27 18:00:00,9.45,7.47,1022,69,4.2,0.0,5,10000,3.71,352,8.83,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,,2023-01-27,18
2023-01-27 19:00:00,9.0,6.91,1022,68,3.7,0.0,2,10000,3.72,360,9.65,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,,2023-01-27,19
2023-01-27 20:00:00,8.73,6.45,1023,68,3.3,0.0,3,10000,3.98,11,9.57,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,,2023-01-27,20
2023-01-27 21:00:00,8.23,6.17,1023,68,2.97,0.0,3,10000,3.36,10,8.79,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,,2023-01-27,21
2023-01-27 22:00:00,7.88,6.01,1023,66,2.21,0.0,2,10000,2.93,6,7.89,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,,2023-01-27,22
2023-01-27 23:00:00,7.44,5.64,1024,63,1.02,0.0,2,10000,2.7,5,6.19,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,,2023-01-27,23
2023-01-28 00:00:00,7.08,5.2,1024,60,0.18,0.0,1,10000,2.72,10,6.81,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,,2023-01-28,0
2023-01-28 01:00:00,6.85,4.99,1023,59,-0.24,0.0,0,10000,2.63,9,6.09,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,,2023-01-28,1
2023-01-28 02:00:00,6.71,4.92,1023,59,-0.47,0.0,0,10000,2.51,15,3.68,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,,2023-01-28,2
2023-01-28 03:00:00,6.37,4.48,1023,61,-0.52,0.0,0,10000,2.56,26,4.37,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,,2023-01-28,3
2023-01-28 04:00:00,5.84,3.85,1023,63,-0.38,0.0,0,10000,2.56,36,4.06,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,,2023-01-28,4
2023-01-28 05:00:00,5.52,3.81,1023,64,-0.54,0.0,0,10000,2.17,32,3.13,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,,2023-01-28,5
2023-01-28 06:00:00,5.27,3.46,1023,64,-0.81,0.0,0,10000,2.23,29,2.98,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,,2023-01-28,6
2023-01-28 07:00:00,5.04,3.33,1023,63,-1.1,0.0,0,10000,2.08,28,2.57,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,,2023-01-28,7
2023-01-28 08:00:00,4.85,3.32,1024,64,-1.2,0.0,0,10000,1.88,35,2.21,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2023-01-28,8
2023-01-28 09:00:00,5.95,4.92,1024,61,-0.87,0.41,0,10000,1.59,37,2.13,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2023-01-28,9
2023-01-28 10:00:00,7.65,6.8,1025,54,-0.93,1.05,0,10000,1.65,42,2.25,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2023-01-28,10
2023-01-28 11:00:00,9.28,8.83,1024,47,-1.2,1.8,0,10000,1.5,40,3.11,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2023-01-28,11
2023-01-28 12:00:00,10.4,8.57,1024,41,-2.06,2.33,0,10000,2.11,44,3.86,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2023-01-28,12
2023-01-28 13:00:00,11.11,9.29,1023,39,-2.34,2.42,0,10000,2.18,30,4.08,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2023-01-28,13
2023-01-28 14:00:00,11.7,9.89,1022,37,-2.46,1.97,0,10000,2.26,26,3.86,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,,2023-01-28,14
