dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,pop,date,hour
2022-09-25 15:00:00,20.94,20.53,1011,55,11.57,3.03,20,10000,7.73,339,7.53,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0.0,2022-09-25,15
2022-09-25 16:00:00,20.96,20.47,1011,52,10.74,1.61,16,10000,7.94,338,8.16,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0.0,2022-09-25,16
2022-09-25 17:00:00,20.6,20.07,1011,52,10.41,0.62,12,10000,7.86,341,9.18,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0.0,2022-09-25,17
2022-09-25 18:00:00,19.73,19.14,1012,53,9.89,0.12,9,10000,7.26,347,11.26,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,2022-09-25,18
2022-09-25 19:00:00,18.76,18.21,1012,58,10.33,0.0,5,10000,7.52,345,13.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,2022-09-25,19
2022-09-25 20:00:00,18.0,17.45,1012,61,10.58,0.0,10,10000,7.47,345,13.45,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,2022-09-25,20
2022-09-25 21:00:00,17.98,17.48,1013,63,11.12,0.0,25,10000,7.26,344,13.27,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0.0,2022-09-25,21
2022-09-25 22:00:00,17.93,17.5,1013,66,11.75,0.0,27,10000,6.9,344,13.32,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0.0,2022-09-25,22
2022-09-25 23:00:00,17.92,17.54,1013,68,12.2,0.0,23,10000,6.15,342,12.51,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",0.0,2022-09-25,23
2022-09-26 00:00:00,17.84,17.48,1013,69,12.39,0.0,20,10000,5.52,339,11.57,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",0.0,2022-09-26,0
2022-09-26 01:00:00,17.63,17.28,1012,70,12.2,0.0,6,10000,4.42,339,10.1,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.08,2022-09-26,1
2022-09-26 02:00:00,17.48,17.03,1012,67,11.7,0.0,6,10000,3.7,337,9.78,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.18,2022-09-26,2
2022-09-26 03:00:00,17.37,16.91,1012,67,11.47,0.0,5,10000,3.66,340,9.21,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.12,2022-09-26,3
2022-09-26 04:00:00,17.09,16.55,1012,65,10.72,0.0,4,10000,3.39,345,7.82,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.12,2022-09-26,4
2022-09-26 05:00:00,16.59,15.95,1012,63,9.79,0.0,3,10000,2.86,3,6.35,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.04,2022-09-26,5
2022-09-26 06:00:00,16.01,15.29,1013,62,9.0,0.0,3,10000,2.67,8,6.5,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,2022-09-26,6
2022-09-26 07:00:00,15.83,14.93,1013,56,7.35,0.0,0,10000,2.05,7,3.77,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,2022-09-26,7
2022-09-26 08:00:00,17.14,16.11,1014,46,5.65,0.43,0,10000,2.1,17,3.37,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,2022-09-26,8
2022-09-26 09:00:00,19.03,17.98,1015,38,4.7,1.32,0,10000,2.41,35,4.16,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,2022-09-26,9
2022-09-26 10:00:00,20.76,19.78,1016,34,4.5,2.72,2,10000,2.75,51,4.78,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,2022-09-26,10
2022-09-26 11:00:00,22.14,21.25,1016,32,4.56,4.16,2,10000,2.17,41,3.58,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,2022-09-26,11
2022-09-26 12:00:00,23.52,22.71,1015,30,4.9,5.12,2,10000,1.76,341,3.3,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,2022-09-26,12
2022-09-26 13:00:00,24.27,23.54,1015,30,5.5,5.38,10,10000,3.33,328,4.12,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,2022-09-26,13
2022-09-26 14:00:00,24.72,24.0,1015,29,5.48,4.59,5,10000,4.28,337,4.5,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,2022-09-26,14
2022-09-26 15:00:00,24.77,24.09,1015,30,5.95,3.2,3,10000,5.65,338,5.24,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,2022-09-26,15
2022-09-26 16:00:00,23.64,22.92,1015,33,6.79,1.77,3,10000,7.28,340,7.2,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,2022-09-26,16
2022-09-26 17:00:00,22.53,21.8,1016,37,7.49,0.66,2,10000,6.73,345,8.36,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,2022-09-26,17
2022-09-26 18:00:00,20.82,20.18,1016,47,9.3,0.12,2,10000,6.5,344,10.15,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0.0,2022-09-26,18
2022-09-26 19:00:00,19.35,18.83,1017,57,10.9,0.0,0,10000,6.08,344,11.36,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,2022-09-26,19
2022-09-26 20:00:00,18.72,18.21,1018,60,10.96,0.0,2,10000,5.19,349,11.27,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,2022-09-26,20
2022-09-26 21:00:00,18.2,17.75,1018,64,11.49,0.0,3,10000,4.99,352,10.97,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,2022-09-26,21
2022-09-26 22:00:00,17.79,17.43,1018,69,12.41,0.0,2,10000,4.63,352,10.65,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,2022-09-26,22
2022-09-26 23:00:00,17.5,17.19,1018,72,12.7,0.0,2,10000,4.2,350,9.7,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,2022-09-26,23
2022-09-27 00:00:00,17.23,16.94,1018,74,12.83,0.0,2,10000,4.09,348,9.24,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,2022-09-27,0
2022-09-27 01:00:00,17.02,16.74,1018,75,12.88,0.0,0,10000,4.03,348,8.92,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,2022-09-27,1
2022-09-27 02:00:00,16.81,16.53,1018,76,12.81,0.0,0,10000,3.66,346,8.38,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,2022-09-27,2
2022-09-27 03:00:00,16.7,16.41,1018,76,12.77,0.0,0,10000,3.51,344,8.75,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,2022-09-27,3
