dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,pop,date,hour
2022-02-14 15:00:00,14.5,13.34,1025,51,4.5,1.67,40,10000,6.15,333,7.23,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0,2022-02-14,15
2022-02-14 16:00:00,14.45,13.26,1025,50,4.17,0.78,36,10000,6.2,338,7.32,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0,2022-02-14,16
2022-02-14 17:00:00,14.14,12.92,1025,50,3.88,0.22,30,10000,5.7,343,6.89,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0,2022-02-14,17
2022-02-14 18:00:00,13.17,12.0,1026,56,4.6,0.0,25,10000,4.79,346,6.86,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0,2022-02-14,18
2022-02-14 19:00:00,11.83,10.71,1027,63,5.02,0.0,14,10000,3.91,351,7.52,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",0,2022-02-14,19
2022-02-14 20:00:00,10.66,9.58,1028,69,5.42,0.0,7,10000,3.18,354,7.59,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-02-14,20
2022-02-14 21:00:00,10.22,9.13,1028,70,5.19,0.0,16,10000,2.42,354,6.5,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",0,2022-02-14,21
2022-02-14 22:00:00,9.74,8.69,1029,70,4.82,0.0,16,10000,2.26,352,6.27,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",0,2022-02-14,22
2022-02-14 23:00:00,9.47,8.66,1029,70,4.56,0.0,32,10000,1.9,354,3.76,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0,2022-02-14,23
2022-02-15 00:00:00,9.2,8.29,1029,71,4.54,0.0,29,10000,1.97,346,3.3,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0,2022-02-15,0
2022-02-15 01:00:00,9.03,8.03,1030,73,4.71,0.0,38,10000,2.04,343,3.47,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0,2022-02-15,1
2022-02-15 02:00:00,8.92,7.93,1029,75,4.97,0.0,48,10000,2.01,337,2.87,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0,2022-02-15,2
2022-02-15 03:00:00,8.77,7.49,1029,77,5.17,0.0,34,10000,2.33,349,3.97,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0,2022-02-15,3
2022-02-15 04:00:00,8.59,7.4,1029,79,5.32,0.0,34,10000,2.18,348,3.64,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0,2022-02-15,4
2022-02-15 05:00:00,8.41,6.95,1030,81,5.57,0.0,40,10000,2.48,353,5.4,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0,2022-02-15,5
2022-02-15 06:00:00,8.26,7.35,1030,83,5.85,0.0,45,10000,1.8,3,2.29,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0,2022-02-15,6
2022-02-15 07:00:00,8.09,7.46,1030,85,6.03,0.0,81,10000,1.51,10,1.74,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0,2022-02-15,7
2022-02-15 08:00:00,8.23,7.46,1030,86,6.31,0.15,43,10000,1.66,17,1.78,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0,2022-02-15,8
2022-02-15 09:00:00,9.89,9.31,1031,79,6.71,0.6,31,10000,1.72,0,3.45,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0,2022-02-15,9
2022-02-15 10:00:00,11.86,10.93,1032,70,6.91,1.35,25,10000,2.26,355,4.3,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0,2022-02-15,10
2022-02-15 11:00:00,13.23,12.2,1032,61,6.13,2.2,32,10000,3.03,346,3.74,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0,2022-02-15,11
2022-02-15 12:00:00,14.15,13.0,1032,53,5.02,2.79,41,10000,3.99,330,4.37,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0,2022-02-15,12
2022-02-15 13:00:00,14.7,13.48,1031,48,3.96,2.77,49,10000,4.35,324,4.43,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0,2022-02-15,13
2022-02-15 14:00:00,14.88,13.6,1031,45,3.27,2.31,36,10000,4.32,322,4.2,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0,2022-02-15,14
2022-02-15 15:00:00,14.39,13.11,1030,47,3.48,1.53,57,10000,4.18,320,4.02,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",0,2022-02-15,15
2022-02-15 16:00:00,13.94,12.75,1030,52,4.61,0.75,68,10000,4.55,322,4.69,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",0,2022-02-15,16
2022-02-15 17:00:00,13.06,11.99,1031,60,5.79,0.21,74,10000,5.14,325,5.89,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",0,2022-02-15,17
2022-02-15 18:00:00,11.89,10.86,1031,66,6.08,0.0,79,10000,4.18,330,6.17,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",0,2022-02-15,18
2022-02-15 19:00:00,11.15,10.07,1032,67,5.46,0.0,100,10000,3.69,331,6.67,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0,2022-02-15,19
2022-02-15 20:00:00,10.77,9.63,1032,66,4.99,0.0,100,10000,2.51,333,5.77,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0,2022-02-15,20
2022-02-15 21:00:00,10.69,9.54,1032,66,4.93,0.0,100,10000,2.38,329,5.9,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0,2022-02-15,21
2022-02-15 22:00:00,10.55,9.46,1032,69,5.29,0.0,100,10000,2.32,336,5.84,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0,2022-02-15,22
2022-02-15 23:00:00,10.2,9.16,1032,72,5.73,0.0,100,10000,1.76,335,3.28,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0,2022-02-15,23
2022-02-16 00:00:00,10.02,9.04,1032,75,6.01,0.0,100,10000,1.89,323,3.7,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0,2022-02-16,0
2022-02-16 01:00:00,9.83,9.05,1032,77,6.29,0.0,91,10000,1.93,325,3.78,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0,2022-02-16,1
2022-02-16 02:00:00,9.64,9.06,1032,79,6.49,0.0,95,10000,1.68,334,2.14,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0,2022-02-16,2
2022-02-16 03:00:00,9.7,9.0,1031,81,6.87,0.0,96,10000,1.82,324,2.72,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0,2022-02-16,3
2022-02-16 04:00:00,9.76,8.95,1031,84,7.42,0.0,97,10000,1.95,329,3.2,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0,2022-02-16,4
2022-02-16 05:00:00,9.82,9.11,1031,86,7.81,0.0,98,10000,1.85,326,2.86,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0,2022-02-16,5
2022-02-16 06:00:00,9.77,8.98,1031,88,8.04,0.0,97,10000,1.93,332,3.05,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0,2022-02-16,6
2022-02-16 07:00:00,9.91,9.1,1032,88,8.34,0.0,98,10000,1.98,331,3.97,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0,2022-02-16,7
2022-02-16 08:00:00,10.21,9.61,1032,89,8.66,0.17,86,10000,1.74,321,3.31,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0,2022-02-16,8
2022-02-16 09:00:00,11.97,11.36,1032,82,9.2,0.69,66,10000,1.84,312,5.41,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",0,2022-02-16,9
2022-02-16 10:00:00,13.44,12.85,1033,77,9.75,1.62,74,10000,3.16,321,5.87,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",0,2022-02-16,10
2022-02-16 11:00:00,14.69,14.09,1033,72,9.93,2.64,79,10000,4.14,327,5.73,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",0,2022-02-16,11
2022-02-16 12:00:00,15.38,14.7,1033,66,9.32,3.36,82,10000,3.98,317,5.02,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",0,2022-02-16,12
2022-02-16 13:00:00,15.86,15.15,1032,63,9.0,3.43,100,10000,4.18,313,5.01,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0,2022-02-16,13
2022-02-16 14:00:00,15.79,15.1,1031,64,9.15,2.85,100,10000,4.43,309,5.27,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0,2022-02-16,14
