dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,pop,date,hour
2021-12-04 15:00:00,15.71,15.56,1025,85,13.2,0.63,40,10000,5.05,315,8.48,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0.2,2021-12-04,15
2021-12-04 16:00:00,15.69,15.51,1025,84,13.0,0.27,47,10000,4.74,345,7.87,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0.16,2021-12-04,16
2021-12-04 17:00:00,15.07,14.8,1026,83,12.21,0.0,50,10000,4.92,349,8.91,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0.04,2021-12-04,17
2021-12-04 18:00:00,13.83,13.44,1026,83,11.0,0.0,49,10000,5.09,350,9.9,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0.04,2021-12-04,18
2021-12-04 19:00:00,12.53,11.95,1027,81,9.36,0.0,8,10000,4.83,355,10.03,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,2021-12-04,19
2021-12-04 20:00:00,11.32,10.57,1029,79,8.03,0.0,0,10000,3.97,347,9.48,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,2021-12-04,20
2021-12-04 21:00:00,11.28,10.53,1029,79,8.11,0.0,0,10000,4.51,343,10.11,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,2021-12-04,21
2021-12-04 22:00:00,11.36,10.59,1029,78,7.95,0.0,0,10000,4.67,345,10.41,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,2021-12-04,22
2021-12-04 23:00:00,11.43,10.59,1029,75,7.44,0.0,0,10000,4.75,339,10.74,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,2021-12-04,23
2021-12-05 00:00:00,11.46,10.7,1029,78,8.0,0.0,0,10000,4.98,343,10.78,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0.0,2021-12-05,0
