dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,pop,date,hour
2022-09-21 15:00:00,25.84,26.05,1018,60,17.49,3.57,20,10000,1.92,281,2.07,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0,2022-09-21,15
2022-09-21 16:00:00,25.77,25.94,1017,59,17.16,1.97,16,10000,2.8,291,2.4,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0,2022-09-21,16
2022-09-21 17:00:00,25.44,25.58,1017,59,16.85,0.76,12,10000,2.81,293,2.81,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0,2022-09-21,17
2022-09-21 18:00:00,24.66,24.8,1017,62,16.9,0.16,9,10000,2.93,303,3.25,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0,2022-09-21,18
2022-09-21 19:00:00,23.25,23.35,1016,66,16.55,0.0,4,10000,3.47,316,4.34,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-09-21,19
2022-09-21 20:00:00,21.77,21.8,1017,69,16.06,0.0,0,10000,3.39,325,4.94,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-09-21,20
2022-09-21 21:00:00,21.35,21.37,1017,70,15.97,0.0,0,10000,3.09,327,4.76,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-09-21,21
2022-09-21 22:00:00,21.19,21.22,1017,71,15.89,0.0,0,10000,2.63,332,4.14,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-09-21,22
2022-09-21 23:00:00,21.01,21.02,1017,71,15.83,0.0,0,10000,2.1,336,3.25,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-09-21,23
2022-09-22 00:00:00,20.97,20.98,1017,71,15.74,0.0,0,10000,1.6,336,2.28,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-09-22,0
2022-09-22 01:00:00,20.9,20.9,1016,71,15.6,0.0,0,10000,1.19,331,1.6,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-09-22,1
2022-09-22 02:00:00,20.74,20.72,1016,71,15.58,0.0,0,10000,1.27,329,1.68,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-09-22,2
2022-09-22 03:00:00,20.55,20.54,1016,72,15.58,0.0,0,10000,1.35,331,1.78,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-09-22,3
2022-09-22 04:00:00,20.34,20.34,1016,73,15.62,0.0,0,10000,1.59,332,2.27,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-09-22,4
2022-09-22 05:00:00,20.04,20.03,1016,74,15.66,0.0,0,10000,1.73,339,2.64,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-09-22,5
2022-09-22 06:00:00,19.85,19.85,1016,75,15.6,0.0,0,10000,1.55,350,2.37,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-09-22,6
2022-09-22 07:00:00,20.01,20.0,1017,74,15.38,0.0,0,10000,1.01,14,1.64,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0,2022-09-22,7
2022-09-22 08:00:00,21.21,21.11,1017,66,14.91,0.52,0,10000,1.1,3,1.75,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0,2022-09-22,8
2022-09-22 09:00:00,22.87,22.7,1018,57,14.12,1.57,0,10000,0.47,50,1.06,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0,2022-09-22,9
2022-09-22 10:00:00,24.59,24.38,1018,49,13.3,3.14,0,10000,1.03,315,1.67,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0,2022-09-22,10
2022-09-22 11:00:00,26.11,26.11,1017,44,12.71,4.76,0,10000,0.58,283,1.12,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0,2022-09-22,11
2022-09-22 12:00:00,26.77,26.79,1017,42,12.7,5.83,0,10000,2.03,287,2.02,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0,2022-09-22,12
2022-09-22 13:00:00,27.05,27.0,1017,42,13.06,5.89,1,10000,2.74,289,2.53,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0,2022-09-22,13
2022-09-22 14:00:00,27.26,27.17,1016,42,13.05,5.05,16,10000,3.6,298,3.42,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0,2022-09-22,14
2022-09-22 15:00:00,27.27,27.12,1016,41,12.82,3.55,16,10000,4.24,307,4.11,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0,2022-09-22,15
2022-09-22 16:00:00,26.53,26.53,1016,43,12.99,1.87,15,10000,4.44,313,4.75,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0,2022-09-22,16
2022-09-22 17:00:00,25.37,25.16,1016,46,13.07,0.71,14,10000,4.32,319,5.53,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0,2022-09-22,17
2022-09-22 18:00:00,23.64,23.5,1017,55,14.12,0.15,14,10000,4.32,321,6.4,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0,2022-09-22,18
2022-09-22 19:00:00,21.92,21.86,1017,65,15.3,0.0,13,10000,3.45,323,5.64,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",0,2022-09-22,19
2022-09-22 20:00:00,21.25,21.23,1017,69,15.71,0.0,9,10000,3.28,323,5.55,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-09-22,20
2022-09-22 21:00:00,20.92,20.92,1017,71,15.61,0.0,10,10000,2.65,322,4.49,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-09-22,21
2022-09-22 22:00:00,20.55,20.54,1017,72,15.51,0.0,22,10000,2.67,324,4.44,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",0,2022-09-22,22
2022-09-22 23:00:00,20.15,20.15,1017,74,15.56,0.0,25,10000,2.39,326,4.28,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0,2022-09-22,23
2022-09-23 00:00:00,19.71,19.75,1017,77,15.87,0.0,26,10000,2.51,330,4.54,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0,2022-09-23,0
2022-09-23 01:00:00,19.37,19.45,1017,80,16.19,0.0,83,10000,2.49,333,4.91,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0,2022-09-23,1
2022-09-23 02:00:00,19.1,19.21,1016,82,16.21,0.0,91,10000,2.76,332,5.72,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0,2022-09-23,2
2022-09-23 03:00:00,18.9,19.01,1016,83,16.19,0.0,94,10000,2.59,334,5.09,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0,2022-09-23,3
2022-09-23 04:00:00,18.55,18.65,1016,84,16.06,0.0,96,10000,2.75,337,6.18,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0,2022-09-23,4
2022-09-23 05:00:00,18.23,18.28,1016,83,15.55,0.0,96,10000,2.49,342,5.84,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0,2022-09-23,5
2022-09-23 06:00:00,17.99,17.99,1016,82,15.12,0.0,83,10000,2.4,340,5.94,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0,2022-09-23,6
2022-09-23 07:00:00,18.0,17.97,1017,81,14.94,0.0,84,10000,3.11,344,8.1,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",0,2022-09-23,7
2022-09-23 08:00:00,18.99,18.9,1017,75,14.78,0.49,92,10000,3.09,349,6.43,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0,2022-09-23,8
2022-09-23 09:00:00,20.67,20.46,1018,64,13.89,1.52,68,10000,3.84,350,5.94,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",0,2022-09-23,9
2022-09-23 10:00:00,22.58,22.28,1018,53,12.69,2.92,58,10000,4.0,347,5.61,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",0,2022-09-23,10
2022-09-23 11:00:00,23.98,23.66,1018,47,12.02,4.42,50,10000,4.5,343,5.38,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0,2022-09-23,11
2022-09-23 12:00:00,24.9,24.57,1017,43,11.35,5.43,44,10000,4.94,340,5.31,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0,2022-09-23,12
2022-09-23 13:00:00,25.1,24.76,1017,42,11.44,5.57,26,10000,5.94,337,6.25,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0,2022-09-23,13
2022-09-23 14:00:00,24.76,24.41,1016,43,11.61,4.76,55,10000,6.35,339,6.97,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",0,2022-09-23,14
