dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,pop,date,hour
2022-05-05 15:00:00,24.01,23.64,1022,45,11.36,5.13,2,10000,4.04,304,3.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0,2022-05-05,15
2022-05-05 16:00:00,23.88,23.47,1022,44,10.9,3.2,3,10000,4.62,307,3.96,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0,2022-05-05,16
2022-05-05 17:00:00,23.07,22.61,1022,45,10.5,1.6,6,10000,4.96,315,5.61,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0,2022-05-05,17
2022-05-05 18:00:00,21.61,21.08,1021,48,10.14,0.58,9,10000,4.54,321,6.23,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0,2022-05-05,18
2022-05-05 19:00:00,19.48,18.92,1022,55,10.21,0.12,8,10000,3.92,325,6.15,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",0,2022-05-05,19
2022-05-05 20:00:00,16.67,16.12,1022,66,10.41,0.0,5,10000,3.8,329,6.41,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-05-05,20
2022-05-05 21:00:00,15.91,15.38,1023,70,10.67,0.0,4,10000,3.48,335,6.5,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-05-05,21
2022-05-05 22:00:00,15.48,14.94,1023,71,10.46,0.0,3,10000,2.74,344,4.99,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-05-05,22
2022-05-05 23:00:00,15.23,14.64,1023,70,10.05,0.0,2,10000,1.51,355,2.78,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-05-05,23
2022-05-06 00:00:00,15.12,14.46,1022,68,9.46,0.0,2,10000,1.07,349,1.14,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-05-06,0
2022-05-06 01:00:00,15.02,14.3,1022,66,8.92,0.0,0,10000,1.31,332,1.32,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-05-06,1
2022-05-06 02:00:00,14.86,14.1,1022,65,8.53,0.0,3,10000,0.9,331,0.91,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-05-06,2
2022-05-06 03:00:00,14.64,13.86,1022,65,8.37,0.0,3,10000,1.17,356,1.14,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",0,2022-05-06,3
