dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather,pop,date,hour
2022-05-29 15:00:00,19.49,19.14,1007,63,12.27,4.55,75,10000,5.44,229,5.96,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",0.0,2022-05-29,15
2022-05-29 16:00:00,19.71,19.36,1007,62,12.23,2.73,72,10000,5.38,230,6.04,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",0.0,2022-05-29,16
2022-05-29 17:00:00,19.59,19.28,1008,64,12.6,1.46,68,10000,5.76,233,6.37,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",0.0,2022-05-29,17
2022-05-29 18:00:00,19.12,18.81,1008,66,12.63,0.58,69,10000,5.69,236,6.58,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",0.0,2022-05-29,18
2022-05-29 19:00:00,18.22,17.93,1009,70,12.66,0.12,95,10000,5.47,241,6.71,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,2022-05-29,19
2022-05-29 20:00:00,17.36,17.08,1010,74,12.97,0.0,100,10000,4.63,246,6.58,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.0,2022-05-29,20
2022-05-29 21:00:00,17.02,16.74,1010,75,12.75,0.0,97,10000,4.1,252,6.13,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.0,2022-05-29,21
2022-05-29 22:00:00,16.67,16.38,1011,76,12.68,0.0,89,10000,3.55,253,5.8,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.0,2022-05-29,22
2022-05-29 23:00:00,16.76,16.42,1011,74,12.44,0.0,89,10000,3.49,250,5.54,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.0,2022-05-29,23
2022-05-30 00:00:00,16.78,16.42,1010,73,12.26,0.0,91,10000,3.22,240,5.05,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.0,2022-05-30,0
2022-05-30 01:00:00,16.8,16.47,1010,74,12.24,0.0,100,10000,2.81,227,5.02,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.0,2022-05-30,1
2022-05-30 02:00:00,16.75,16.41,1010,74,12.27,0.0,100,10000,2.87,201,5.04,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.0,2022-05-30,2
2022-05-30 03:00:00,16.89,16.51,1010,72,12.04,0.0,100,10000,3.35,194,5.22,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.0,2022-05-30,3
2022-05-30 04:00:00,16.39,15.99,1010,73,11.95,0.0,100,10000,3.26,188,5.94,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.0,2022-05-30,4
2022-05-30 05:00:00,16.23,15.84,1010,74,11.91,0.0,100,10000,3.02,182,6.36,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.0,2022-05-30,5
2022-05-30 06:00:00,16.43,16.06,1011,74,12.09,0.12,100,10000,3.33,178,7.14,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,2022-05-30,6
2022-05-30 07:00:00,17.22,16.85,1011,71,12.27,0.35,100,10000,3.98,174,7.22,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,2022-05-30,7
2022-05-30 08:00:00,18.14,17.76,1011,67,12.29,0.96,100,10000,5.1,186,7.29,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,2022-05-30,8
2022-05-30 09:00:00,19.16,18.8,1011,64,12.4,1.93,100,10000,5.47,187,6.99,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,2022-05-30,9
2022-05-30 10:00:00,19.62,19.26,1011,62,12.38,1.62,100,10000,5.68,182,7.25,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,2022-05-30,10
2022-05-30 11:00:00,20.59,20.22,1011,58,12.33,2.18,100,10000,5.71,187,7.08,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,2022-05-30,11
2022-05-30 12:00:00,21.36,21.01,1011,56,12.51,2.54,100,10000,5.97,193,7.31,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,2022-05-30,12
2022-05-30 13:00:00,21.55,21.25,1011,57,12.74,2.42,100,10000,6.24,201,7.69,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.03,2022-05-30,13
2022-05-30 14:00:00,21.41,21.12,1011,58,13.0,2.15,100,10000,6.06,205,7.61,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.03,2022-05-30,14
2022-05-30 15:00:00,21.24,20.96,1011,59,13.15,1.67,100,10000,5.91,211,7.69,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.03,2022-05-30,15
2022-05-30 16:00:00,20.21,19.98,1011,65,13.63,0.79,100,10000,5.54,215,7.89,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.03,2022-05-30,16
2022-05-30 17:00:00,19.72,19.55,1011,69,14.07,0.42,100,10000,4.89,215,7.22,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.03,2022-05-30,17
2022-05-30 18:00:00,19.42,19.3,1011,72,14.39,0.17,100,10000,4.48,213,6.82,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.03,2022-05-30,18
2022-05-30 19:00:00,18.95,18.86,1011,75,14.58,0.2,100,10000,4.13,207,6.46,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",0.0,2022-05-30,19
2022-05-30 20:00:00,17.89,17.85,1011,81,14.9,0.0,98,10000,3.25,197,5.81,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.0,2022-05-30,20
2022-05-30 21:00:00,17.43,17.45,1012,85,15.16,0.0,85,10000,2.72,183,5.96,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",0.0,2022-05-30,21
2022-05-30 22:00:00,17.31,17.34,1012,86,15.22,0.0,81,10000,2.76,174,6.34,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.0,2022-05-30,22
2022-05-30 23:00:00,17.54,17.57,1012,85,15.34,0.0,84,10000,3.05,163,6.79,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.0,2022-05-30,23
2022-05-31 00:00:00,17.26,17.34,1012,88,15.53,0.0,81,10000,3.1,157,7.26,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.0,2022-05-31,0
2022-05-31 01:00:00,16.94,17.01,1011,89,15.45,0.0,56,10000,3.37,153,8.04,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.04,2022-05-31,1
2022-05-31 02:00:00,16.68,16.75,1011,90,15.36,0.0,52,10000,3.43,150,8.49,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.06,2022-05-31,2
2022-05-31 03:00:00,16.7,16.75,1011,89,15.09,0.0,59,10000,3.59,150,8.48,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.06,2022-05-31,3
2022-05-31 04:00:00,16.3,16.31,1011,89,14.7,0.0,52,10000,3.67,144,8.73,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",0.03,2022-05-31,4
2022-05-31 05:00:00,15.97,15.89,1011,87,14.11,0.0,44,10000,3.48,137,8.78,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",0.0,2022-05-31,5
2022-05-31 06:00:00,16.22,16.09,1012,84,13.66,0.14,37,10000,3.49,134,8.81,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0.0,2022-05-31,6
2022-05-31 07:00:00,17.61,17.44,1012,77,13.81,0.55,14,10000,4.96,143,9.67,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0.0,2022-05-31,7
2022-05-31 08:00:00,19.58,19.4,1012,69,13.99,1.48,17,10000,6.29,162,9.97,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",0.0,2022-05-31,8
2022-05-31 09:00:00,19.84,19.68,1013,69,14.3,2.98,39,10000,6.64,169,10.17,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0.0,2022-05-31,9
2022-05-31 10:00:00,20.82,20.65,1013,65,14.27,4.31,50,10000,6.66,174,9.88,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",0.0,2022-05-31,10
